 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
PMA2018,performance measurement and management in a globally networked world,https://easychair.org/cfp/PMA2018,"Warsaw, Poland","Mar 15, 2018","Sep 23, 2018","['performance measurement', 'performance management', 'management control', 'strategy execution']",Accounting and Finance
African Conference 2018,“Out of (and into) Africa”: International Symposium of Research on African Consumer Marketing and Firm Strategy,https://easychair.org/cfp/AfricanConference2018,"BALTIMORE, MD, United States","Feb 12, 2018","May 24, 2018",[],Accounting and Finance
ICOES1,International Conference of Economic Studies,https://easychair.org/cfp/ICOES-1,"Pematangsiantar, Indonesia","Mar 30, 2018","Apr 13, 2018","['economics', 'business', 'accounting', 'marketing']",Accounting and Finance
iCOnEc 2018,10th International Conference Competitiveness and Stability in the Knowledge-Based Economy,https://easychair.org/cfp/iCOnEc2018,"Craiova, Romania","Jul 31, 2018","Oct 26, 2018","['management', 'finance', 'informatics', 'accounting']",Accounting and Finance
ICFMCF-2018,3rd International Conference on Financial Markets and Corporate Finance 2018,https://easychair.org/cfp/ICFMCF-2018,"Kanpur, India","Mar 01, 2018","Jul 12, 2018","['financial markets', 'corporate finance']",Accounting and Finance
IDIMT2018,Interdisciplinary Information Management Talks,https://easychair.org/cfp/IDIMT-2018,"Kutná Hora, Czech Republic","Apr 13, 2018","Sep 05, 2018","['digital economy and industry 4.0', 'social media / cyber security', 'crisis management / ehealth', 'smart systems / innovations']",Accounting and Finance
ARSYM-2018,Annual Research Symposium in Management,https://easychair.org/cfp/ARSYM2018,"Kuliyapitiya, Sri Lanka","Feb 16, 2018","May 11, 2018","['accounting economics banking finance', 'entrepreneurship and small businesses', 'hrm risk management and insurance', 'mis e commerce operations management']",Accounting and Finance
2018 EGPA PSG XII,2018 EGPA PSG XII Spring Workshop,https://easychair.org/cfp/2018_EGPA_PSGXII,"Rostock, Germany","Apr 15, 2018","May 03, 2018","['public sector accounting', 'public sector financial management', 'ipsas', 'epsas']",Accounting and Finance
CEMA2018,Commodity and Energy Markets Association Annual Meeting 2018,https://easychair.org/cfp/CEMA2018,"Rome, Italy","Feb 26, 2018","Jun 20, 2018","['quantitative finance', 'commodity markets', 'risk management', 'decision theory']",Accounting and Finance
EBEEC2018,The Economies of the Balkan and the Eastern European Countries in the changing world,https://easychair.org/cfp/EBEEC_2018,"Warsaw, Poland","Apr 30, 2018","May 11, 2018","['economic growth development and sustainability', 'management and marketing', 'european crisis and the balkans', 'regional integration in the eu']",Accounting and Finance
