 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
SCEx-EACH-USP-2018,II Seminário de Cultura e Extensão da Escola de Artes Ciências e Humanidades da Universidade de São Paulo,https://easychair.org/cfp/scexeachusp2018,"São Paulo, Brazil",,"Apr 18, 2018",[],Art and Literature
Asylum2018,Going Global: Steampunk and Transnational Cultures,https://easychair.org/cfp/Asylum2018,"Lincoln, UK","Mar 30, 2018","Aug 25, 2018",[],Art and Literature
SAD 2018,Seminário de Artes Digitais 2018,https://easychair.org/cfp/sad2018,"Belo Horizonte, Brazil","Apr 02, 2018","Apr 25, 2018","[u'universo l\xfadico', 'design arte e interfaces', u'imagem e tecnopo\xe9ticas', u'mem\xf3ria e tecnologias digitais']",Art and Literature
VSAC 2018,Visual Science of Art Conference 2018,https://easychair.org/cfp/VSAC2018,"Trieste, Italy","Mar 31, 2018","Aug 24, 2018","['visual perception', 'visual art and visual science', 'visual aesthetics', 'experimental aesthetics']",Art and Literature
RostUL7,"Myths, Folktales and Legends in Translation",https://easychair.org/cfp/RostUL7,"Lisbon, Portugal","Feb 18, 2018","May 08, 2018",[],Art and Literature
DF 2018,V&A Digital Futures,https://easychair.org/cfp/df2018,"London, UK",,"Jul 09, 2018",[],Art and Literature
Congreso Quirino 2018,Congreso Quirino | Quirino Congress,https://easychair.org/cfp/CongresoQuirino2018,"Santa Cruz de Tenerife, Spain","Mar 09, 2018","Apr 06, 2018","['animation', 'art', 'education', 'iberoamerica']",Art and Literature
ADR18,Annual Design Research Conference,https://easychair.org/cfp/ADR18,"Sydney, Australia","May 16, 2018","Sep 27, 2018","['architecture', 'landscape', 'urban', 'interior']",Art and Literature
SASMR18,Symposium on Scientific Approaches in Sound and Movement Research,https://easychair.org/cfp/SASMR-18,"Graz, Austria","Mar 15, 2018","Sep 20, 2018","['movement/sound capture and analysis', 'interdisciplinarity', 'music', 'dance']",Art and Literature
KuI 2018,16th Conference Culture and Computer Science,https://easychair.org/cfp/kui2018,"Berlin, Germany","Jan 30, 2018","May 24, 2018","['hybrid systems', 'augmented reality', 'virtual reality', 'crowd sourcing']",Art and Literature
WICTA 2018,5th International Workshop on ICT for Auditing,https://easychair.org/cfp/WICTA2018,"Caceres, Spain","Feb 28, 2018","Jun 13, 2018",[],Art and Literature
CIMODE 2018,4º Congresso Internacional de Moda e Design 2018,https://easychair.org/cfp/CIMODE2018,"Madrid, Spain","Feb 12, 2018","May 21, 2018","['fashion and communication', 'fashion identities and cultures', 'marketing and consumption|product design', 'teaching and education | sustainability']",Art and Literature
KLG 2018,klingt gut 2018 International Symposium on Sound,https://easychair.org/cfp/KLG2018,"Hamburg, Germany","Jan 28, 2018","Jun 07, 2018","['immersive audio', 'sound design', 'electronic music', 'virtual reality']",Art and Literature
It Wasn’t Written 2018,International Symposium on designerly-ways of Historiography,https://easychair.org/cfp/ItWasntWritten2018,"New York, NY, United States","Sep 05, 2018","Sep 05, 2018","['history', 'design', 'historiography']",Art and Literature
MES18,Media Education Summit 2018,https://easychair.org/cfp/MES18,"Hong Kong, China","Feb 09, 2018","Nov 01, 2018","['media education', 'media /digital literacy', 'media / technology in education']",Art and Literature
NYUEDTHTRFORUM2018,NYU Forum 2018- Performance as Activism,https://easychair.org/cfp/nyuedthtrforum2018,"New York City, NY, United States","Jan 15, 2018","Apr 19, 2018","['performance', 'activism', 'theatre', 'social justice']",Art and Literature
EVA London 2018,Electronic Visualisation and the Arts,https://easychair.org/cfp/evalondon2018,"London, UK","Jan 15, 2018","Jul 09, 2018","['information technology', 'interdisciplinary', 'visualisation', 'visual arts']",Art and Literature
ICIDE 2017,2017 Int. Conference on Industrial Design Engineering,https://easychair.org/cfp/ICIDE-2017,"Dubai, UAE","Oct 23, 2017","Dec 29, 2017","['product design', 'cultural genes from han dynasty']",Art and Literature
9SARICAR,9th SAR International Conference on Artistic Research,https://easychair.org/cfp/9-SARICAR,"Plymouth, UK","Jan 07, 2018","Apr 11, 2018","['artistic resarch', 'art', 'music', 'performance']",Art and Literature
Research hands on 3,Research Hands on PIANO,https://easychair.org/cfp/researchhandson3,"Aveiro, Portugal","Dec 01, 2017","Jan 24, 2018","['music', 'piano', 'performance', 'artistic research']",Art and Literature
SCANZ2018,"SCANZ2018: Peace, Water, Power",https://easychair.org/cfp/SCANZ2018,"New Plymouth Nga Motu, New Zealand","Nov 25, 2017",,"['water', 'power', 'professional development', 'peace']",Art and Literature
DHSI2018,DHSI Conference & Colloquium,https://easychair.org/cfp/DHSI2018,"Victoria, Canada",,"Jun 12, 2018",['digital humanities'],Art and Literature
ELO2018,Mind the Gap! Attention à la marche!,https://easychair.org/cfp/ELO2018,"Montréal, Canada","Jan 08, 2018","Aug 13, 2018","['digital culture', 'hypertext', 'electronic literature', 'digital humanities']",Art and Literature
childrenmacabre2018,From Morals to Macabre in Translation for Children,https://easychair.org/cfp/childrenmacabre2018,"Cracow, Poland","Nov 30, 2017","Apr 04, 2018","['languages', 'translation', 'digital humanities', u'children\u2019s literature']",Art and Literature
VE25,Visible Evidence XXV,https://easychair.org/cfp/VE25,"Bloomington, IN, United States","Nov 30, 2017","Aug 08, 2018","['documentary', 'film', 'media', 'photography']",Art and Literature
LitSea2018,"Literature at Sea: Storms, Shipwrecks, and Survival",https://easychair.org/cfp/LitSea2018,"Jacksonville, FL, United States","Nov 01, 2017","May 12, 2018","['literature', 'language', 'humanities', 'interdisciplinary']",Art and Literature
NATSA 2018,North American Taiwan Studies Association 2018 Annual Conference,https://easychair.org/cfp/natsa2018,"Austin, TX, United States","Dec 25, 2017","May 24, 2018","['taiwan', 'east asia']",Art and Literature
