 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
LMNID-18,NetSci2018 Satellite Symposium: Livestock Movement Networks & Infectious Disease,https://easychair.org/cfp/LMNID18,"Paris, France","Mar 02, 2018","Jun 12, 2018","['network science', 'veterinary epidemiology']",Biological Sciences
ICFMS 2018,International Conference Forensic Medicine And Science 2018,https://easychair.org/cfp/ICFMS2018,"Shah Alam, Malaysia",,"May 08, 2018","['forensic pathology', 'forensic anthropology', 'forensic entomology', 'forensic odontolgy']",Biological Sciences
"28th ICMRBS, Dublin",XXVIII International Conference on Magnetic Resonance in Biological System at University College Dublin,https://easychair.org/cfp/28thicmrbsdublin,"Dublin, Ireland",,"Aug 19, 2018",[],Biological Sciences
MolCom 2018,3rd Workshop on Molecular Communications,https://easychair.org/cfp/MolCom2018,"Ghent, Belgium","Jan 29, 2018","Apr 04, 2018","['track 1: living system modelling', 'track 2: living system interface', 'track 3: artificial molecular communications']",Biological Sciences
SMEEB2018,Stochastic Models in Ecology and Evolutionary Biology,https://easychair.org/cfp/SMEEB2018,"Venice, Italy","Mar 09, 2018","Apr 05, 2018","['complex systems', 'ecology', 'system biology', 'stochastic processes']",Biological Sciences
ISEMPH 2018,"International Society for Evolution, Medicine and Public Health 2018",https://easychair.org/cfp/ISEMPH2018,"Park City, UT, United States","Mar 01, 2018","Aug 01, 2018","['evolutionary medicine', 'evolutionary biology', 'health behavior', 'evolutionary anthropology']",Biological Sciences
ICBCI 2018,2018 the 2nd International Conference on Bioinformatics and Computational Intelligence,https://easychair.org/cfp/ICBCI2018,"Hong Kong, Hong Kong","Mar 01, 2018","Jul 28, 2018","['bioinformatics', 'artificial intelligence', 'computational intelligence', 'image processing']",Biological Sciences
CIIA 2018,Congreso Internacional de Ingeniería Agroindustrial,https://easychair.org/cfp/ciia2018,"Alajuela, Costa Rica","Aug 20, 2018","Oct 22, 2018","[u'ingenier\xeda en procesos alimentarios', u'biotecnolog\xeda y aprovechamiento de subproductos', u'agroindustria y agro producci\xf3n', 'productos funcionales y valor agregado']",Biological Sciences
DMCM 2018,The 3rd Disease Maps Community Meeting,https://easychair.org/cfp/DMCM2018,"Paris, France","Apr 21, 2018","Jun 21, 2018","['biocuration', 'map construction', 'map complexity management', 'map application in preclinical studies']",Biological Sciences
VPH2018,Virtual Physiological Human 2018,https://easychair.org/cfp/VPH2018,"Zaragoza, Spain","Feb 28, 2018","Sep 05, 2018","['novel tools', 'validation of models', 'clinical applications and personalized medicine']",Biological Sciences
IB2018,Integrative Bioinformatics Symposium 2018,https://easychair.org/cfp/IB2018,"Harpenden, UK","Mar 02, 2018","Jun 13, 2018","['protein function prediction', 'biological networks', 'omics data integration', 'data mining']",Biological Sciences
SAPIENCE18,SAPIENCE18 International Conference on Digital Image Processing and Biomedical Informatics,https://easychair.org/cfp/sapience18,"Cochin, India","Jan 15, 2018","May 03, 2018","['digital image processing', 'biomedical informatics']",Biological Sciences
BioMET 2018,International conference on BioMaterials BioEngineering BioTheronostics,https://easychair.org/cfp/BioMET-2018,"Vellore, India","Apr 23, 2018","Jul 24, 2018","['biomimetic materials', 'stem cell and regenerative medicine', 'metallic biomaterials and alloys', 'antimicrobial biomaterials']",Biological Sciences
BIOPRO-A-PLUS 2018,"International Workshop on Bio-inspired Systems, Bio-electronics, Machine Intelligence",https://easychair.org/cfp/biopro-a-plus-2018,"Hsinchu, Taiwan",,"Jan 26, 2018",[],Biological Sciences
TSB 2018,The 30th annual meeting of the Thai Society for Biotechnology and International Conference,https://easychair.org/cfp/TSB2018,"Bangkok, Thailand","Aug 15, 2018","Nov 22, 2018",['biotechnology'],Biological Sciences
IsoEcol2018,11th International Conference on the Applications of Stable Isotope Techniques to Ecological Studies,https://easychair.org/cfp/IsoEcol2018,"Viña Del Mar, Chile","Mar 01, 2018","Jul 30, 2018",['stable isotope ecology'],Biological Sciences
BOD2018,Bioinformatics Open Days 2018,https://easychair.org/cfp/BOD2018,"Braga, Portugal","Jan 26, 2018","Mar 15, 2018",['bioinformatics'],Biological Sciences
ICIBM2018,International Conference on Intelligent Biology and Medicine (ICIBM 2018),https://easychair.org/cfp/icibm2018,"Los Angeles, CA, United States","Feb 04, 2018","Jun 10, 2018",[],Biological Sciences
WSM 2018,2nd Wroclaw Scientific Meetings,https://easychair.org/cfp/WSM2018,"Wroclaw, Poland","Jan 31, 2018","Mar 02, 2018","['biology', 'biomedical engineering', 'medical biochemistry', 'pharmacy']",Biological Sciences
MEHI-2018,2018 International Conference on Medical Engineering and Health Informatics,https://easychair.org/cfp/MEHI2018,"Kunming, China","Jan 15, 2018","May 20, 2018","['artificial organs', 'automated patient monitoring', 'biomaterials design', 'blood chemistry sensors']",Biological Sciences
POBAM 2018,Philosophy of Biology at the Mountains,https://easychair.org/cfp/POBAM2018,"Salt Lake City, UT, United States","Jan 31, 2018","May 17, 2018","['biology', 'philosophy of science', 'interdisciplinary', 'philosophy of biology']",Biological Sciences
LCICD 2018,Lancaster Conference on Infant and Early Child Development,https://easychair.org/cfp/LCICD2018,"Lancaster, UK","Mar 01, 2018","Sep 05, 2018",[],Biological Sciences
ICPSB 2018,2018 2nd International Conference on Pharma Sciences and Biotechnology,https://easychair.org/cfp/ICPSB2018,"Jeju, South Korea","Nov 30, 2017","Jan 18, 2018","['biotechnology', 'nanotechnology', 'pharmaceutical sciences', 'medical sciences']",Biological Sciences
ICPPS 2018,The 2018 3rd International Conference on Pharmacy and Pharmaceutical Science,https://easychair.org/cfp/ICPPS2018,"Bali, Indonesia","Feb 05, 2018","Apr 23, 2018","['biotechnology', 'pharmaceutical sciences', 'medical sciences', 'pharmacy']",Biological Sciences
ICBET 2018,2018 8th International Conference on Biomedical Engineering and Technology,https://easychair.org/cfp/ICBET2018,"Bali, Indonesia","Feb 05, 2018","Apr 23, 2018","['bioinformatics', 'computational biology', 'biomedical engineering', 'biomechanics']",Biological Sciences
ICFEB 2018,2018 9th International Conference on Food Engineering and Biotechnology,https://easychair.org/cfp/ICFEB2018,"Okinawa, Japan","Jan 20, 2018","Mar 28, 2018","['biotechnology', 'bioinformatics', 'electronics', 'microbiology']",Biological Sciences
ICBAE 2018,The 2018 4th International Conference on Biotechnology and Agriculture Engineering,https://easychair.org/cfp/ICBAE2018,"Okinawa, Japan","Jan 20, 2018","Mar 28, 2018","['food security', 'agricultural biotechnology', 'agro industry', 'ecological engineering']",Biological Sciences
ICBCB 2018,2018 6th International Conference on Bioinformatics and Computational Biology,https://easychair.org/cfp/ICBCB2018,"Chengdu, China","Jan 25, 2018","Mar 12, 2018","['algorithms', 'data mining', 'bio imaging', 'biological modeling']",Biological Sciences
ICCBS 2018,2018 5th International Conference on Chemical  and Biological Sciences,https://easychair.org/cfp/ICCBS2018,"Bucharest, Romania","Jan 15, 2018","Mar 07, 2018","['nanotechnology', 'biological engineering fundamentals', 'biochemical engineering', 'multiscale modeling']",Biological Sciences
ICFES 2018,2018 4th International Conference on Food and Environmental Sciences,https://easychair.org/cfp/ICFES2018,"Da Nang, Viet Nam","Dec 20, 2017","Feb 25, 2018","['food chemistry and biotechnology', 'food nutrition and evaluation', 'environmental science and technology', 'health and the environment']",Biological Sciences
ICAFB 2018,"2018 International Conference on Agriculture, Food and Biotechnology",https://easychair.org/cfp/ICAFB2018,"Bangkok, Thailand","Dec 05, 2017","Jan 24, 2018","['food safety', 'agricultural biotechnology', 'biochemical engineering', 'food process technology']",Biological Sciences
ICBBB 2018,"2018 8th International Conference on Bioscience, Biochemistry and Bioinformatics",https://easychair.org/cfp/ICBBB2018,"Tokyo, Japan","Oct 30, 2017","Jan 18, 2018","['bioinformatics', 'biochemistry', 'biomedicine engineering', 'bioscience engineering']",Biological Sciences
ICABT 2017,2017 5th International Conference on Agriculture and Biotechnology,https://easychair.org/cfp/ICABT2017,"Tokyo, Japan","Nov 01, 2017","Dec 27, 2017","['biotechnology', 'energy and environment', 'bioprocess and biosystems']",Biological Sciences
ICBFS 2018,2018 9th International Conference on Biotechnology and Food Science,https://easychair.org/cfp/ICBFS2018,"Copenhagen, Denmark","Jan 15, 2018","Apr 09, 2018","['bioinformatics', 'nanobiotechnology', 'engineering', 'processing']",Biological Sciences
EIT2018,International Conference on Biomedical Applications of Electrical Impedance Tomography,https://easychair.org/cfp/eit2018,"Edinburgh, UK","Feb 21, 2018","Jun 11, 2018","['inverse problems', 'imaging', 'instrumentation']",Biological Sciences
DFC2018,Desert Fishes Council 50th Annual Meeting,https://easychair.org/cfp/DFC2018,"Furnace Creek, CA, United States","Sep 15, 2018","Nov 14, 2018","['conservation', 'aquatic ecology', 'desert', 'endangered species']",Biological Sciences
AFHVS / ASFS 2018,"The Agroecological Prospect: The Politics of Integrating Values, Food, and Farming",https://easychair.org/cfp/AFHV-ASFS_2018,"Madison, WI, United States","Feb 15, 2018","Jun 13, 2018","['agriculture', 'food', 'political economy', 'agroecology']",Biological Sciences
GR2018,Genomic Regulation 2018,https://easychair.org/cfp/GR2018,"Swiss Alps, Switzerland",,"Mar 15, 2018",[],Biological Sciences
Biocuration2018,The 11th International Biocuration Conference,https://easychair.org/cfp/biocuration2018,"Shanghai, China","Jan 15, 2018","Apr 08, 2018","['precision medicine', 'text mining', 'bioinformatics', 'medical informatics']",Biological Sciences
PACBB'18,12th International Conference on Practical Applications of Computational Biology & Bioinformatics,https://easychair.org/cfp/PACBB18,"Toledo, Spain","Feb 05, 2018","Jun 20, 2018",[],Biological Sciences
GeNeDis 2018,"3nd World Congress ‘Genetics, Geriatrics and Neurodegenerative Diseases Research’ 2018",https://easychair.org/cfp/genedis2018,"Toronto, Canada","Apr 20, 2018","Oct 25, 2018","['system biology', 'geriatrics', 'neurodegenerative diseases']",Biological Sciences
ERIDOB2018,XII Conference of European Researchers in Didactics of Biology,https://easychair.org/cfp/ERIDOB2018,"Zaragoza, Spain","Oct 31, 2017","Jul 02, 2018","['education', 'biology', 'didactics of biology', 'biology education']",Biological Sciences
HBPSC 2018,"2nd HBP Student Conference - Transdisciplinary Research Linking Neuroscience, Brain Medicine and Computer Science",https://easychair.org/cfp/hbpsc2018,"Ljubljana, Slovenia","Oct 11, 2017","Feb 14, 2018",[],Biological Sciences
