 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
IAMDC - July' 2018,International Academic Multi Disciplinary Conference,https://easychair.org/cfp/IAMDCJuly2018,"Bangalore, India","Jul 05, 2018","Jul 13, 2018","['engineering', 'information technology', 'business and management studies', 'education and social sciences']",Business and Management
I3E 2018,"The 17th IFIP Conference on e-Business, e-Services and e-Society, Challenges and Opportunities in the Digital Era",https://easychair.org/cfp/I3E2018,Kuwait,"Jul 20, 2018","Oct 30, 2018","['social media', 'information systems', 'marketing and communications', 'management and operations']",Business and Management
ICCIBE1,"1st International Conference on Contemporary Issues in Business & Economics (1st ICCIBE), Tokat-Turkey",https://easychair.org/cfp/ICCIBE1,"Tokat, Turkey","Apr 15, 2018","Jul 04, 2018","['economics', 'business studies', 'marketing and hrm', 'finance and project management']",Business and Management
CSS2018,2018 INFORMS International Conference on Service Science,https://easychair.org/cfp/INFORMS-CSS2018,"Phoenix, AZ, United States","Jun 01, 2018","Nov 03, 2018","['service theory development and research', 'service operations management and marketing', 'system modeling and machine learning', 'service analytics and applications']",Business and Management
PMA2018,performance measurement and management in a globally networked world,https://easychair.org/cfp/PMA2018,"Warsaw, Poland","Mar 15, 2018","Sep 23, 2018","['performance measurement', 'performance management', 'management control', 'strategy execution']",Business and Management
ICCI-SEM - 2018,"International Conference on Contemporary Issues in Science, Engineering & Management - SCOPUS Indexed",https://easychair.org/cfp/ICCI-SEM-2018-MALAYSIA,"Kuala Lumpur, Malaysia","Mar 23, 2018","Apr 07, 2018","['computer science & applications', 'electronics and electrical engineering', 'basic science & management', 'materials and mechanical engineering']",Business and Management
Glob2018,"Globalization and regionalization in the contemporary world: competitiveness, development, sustainability",https://easychair.org/cfp/Glob2018,"Cracow, Poland","Aug 31, 2018","Sep 21, 2018","['sustainable development', 'globalization and regionalization', 'international competitiveness', 'international financial markets and stability']",Business and Management
ICATSD 2018,International Conference  On  Appropriate Technology for Sustainable Development 2018,https://easychair.org/cfp/ICATSD2018,"Nagpur, India","Feb 15, 2018","Mar 09, 2018","['mechanical engineering', 'civil engineering', 'computer and information technology', 'electronics and telecommunication']",Business and Management
DsG2018,Doctoriale des Sciences De Gestion,https://easychair.org/cfp/DEG2018,"Rabat, Morocco","Apr 15, 2018","May 03, 2018","['finance et finance islamique', 'gestion des ressources humaines', u'audit comptablilit\xe9 fiscalit\xe9', 'entrepreunariat et innovation']",Business and Management
African Conference 2018,“Out of (and into) Africa”: International Symposium of Research on African Consumer Marketing and Firm Strategy,https://easychair.org/cfp/AfricanConference2018,"BALTIMORE, MD, United States","Feb 12, 2018","May 24, 2018",[],Business and Management
CERE 2018,Conference on Excellence in Research and Education (CERE),https://easychair.org/cfp/cere2018,"Indore, India","Feb 25, 2018","May 03, 2018","['business management', 'management strategy', 'human resource management', 'innovation in management']",Business and Management
ICPSIS2018,"International Conference on Peace, Security and International Studies 2018",https://easychair.org/cfp/icpsis2018,"Victoria Falls, Zimbabwe","Jun 24, 2018","Jul 24, 2018",[],Business and Management
LA 2018,Logistics Analytics 2018,https://easychair.org/cfp/la2018,"Minsk, Belarus","Mar 05, 2018","Jun 17, 2018","['logistics', 'analytic models', 'methods and tools', 'logistics applications']",Business and Management
Gronen 2018,Group for Research on Organizations and the Natural Environment Meeting 2018,https://easychair.org/cfp/Gronen2018,"Almeria, Spain","Feb 15, 2018","Jun 13, 2018",[],Business and Management
MS 2018,International Conference on Modelling and Simulation,https://easychair.org/cfp/MS2018,"Mazatlan, Sinaloa, Mexico","Feb 28, 2018","Apr 26, 2018","['operational research', 'fuzzy sets and systems', 'decision making and experts systems', 'business and economic applications']",Business and Management
ARSYM-2018,Annual Research Symposium in Management,https://easychair.org/cfp/ARSYM2018,"Kuliyapitiya, Sri Lanka","Feb 16, 2018","May 11, 2018","['accounting economics banking finance', 'entrepreneurship and small businesses', 'hrm risk management and insurance', 'mis e commerce operations management']",Business and Management
ABES'18,International Conference on Advances in Business and Engineering For Sustainability,https://easychair.org/cfp/ABES-18,"Ghaziabad, India","Feb 12, 2018","Mar 27, 2018","['mechanical and production engineering', 'alternative energy generation and utilization', 'marketing strategies and customer satisfaction', 'leadership and change management']",Business and Management
ICFA2018,International Conference on FlexSim in Academia,https://easychair.org/cfp/ICFA2018,"Poznan, Poland","Mar 15, 2018","Jun 06, 2018","['methods/practices for teaching simulation', 'applied research and development activities', 'simulation based industry university collaborations']",Business and Management
PACIS 2018,The 22nd Pacific Asia Conference on Information Systems,https://easychair.org/cfp/PACIS2018,"YOKOHAMA, Japan","Feb 26, 2018","Jun 26, 2018","['information systems', 'big data', 'artificial intelligence', 'digitized society']",Business and Management
ACHSM-Darwin2018,ACHSM Congress Darwin 2018,https://easychair.org/cfp/ACHSM-Darwin2018,"Darwin, Australia","Sep 19, 2018","Sep 19, 2018","['global health leadership perspectives', 'rural remote and indigenous health', 'disaster preparedness', 'digital health innovations and development']",Business and Management
ICSSM-2018,International conference on Social Sciences and Management,https://easychair.org/cfp/ICSSM-2018,"Pune, India","Sep 25, 2018","Dec 22, 2018","['social sciences', 'social work', 'management', 'allied sciences']",Business and Management
IECS 2018,25th International Economic Conference,https://easychair.org/cfp/IECS2018,"Sibiu, Romania","Feb 26, 2018","May 11, 2018","['economics', 'business administration', 'marketing', 'finance']",Business and Management
2018 EGPA PSG XII,2018 EGPA PSG XII Spring Workshop,https://easychair.org/cfp/2018_EGPA_PSGXII,"Rostock, Germany","Apr 15, 2018","May 03, 2018","['public sector accounting', 'public sector financial management', 'ipsas', 'epsas']",Business and Management
CBIM2018,CBIM2018 International Conference,https://easychair.org/cfp/cbim2018,"Madrid, Spain","Jun 01, 2018","Jun 18, 2018","['marketing', 'b2b', 'business markets', 'integrating employees customers and technology']",Business and Management
