 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
"28th ICMRBS, Dublin",XXVIII International Conference on Magnetic Resonance in Biological System at University College Dublin,https://easychair.org/cfp/28thicmrbsdublin,"Dublin, Ireland",,"Aug 19, 2018",[],Chemistry
ICCPM 2018,"1st  International Conference On Chemistry, Pharmacy and Medical Sciences",https://easychair.org/cfp/iccpm2018,"Bengkulu, Indonesia","Oct 01, 2018","Nov 27, 2018","['chemistry', 'pharmacy', 'medical sciences', 'environmental sciences']",Chemistry
SISS-20,The Scientific International Symposium on SIMS and Related Techniques Based on Ion-Solid Interactions,https://easychair.org/cfp/SISS-20,"Tokyo, Japan","May 18, 2018","Jun 28, 2018",[],Chemistry
IC3PE,"International Conference on Chemistry, Chemical Process and Engineering",https://easychair.org/cfp/ic3pe,"Yogyakarta, Indonesia",,"Aug 07, 2018",[],Chemistry
ICPSB 2018,2018 2nd International Conference on Pharma Sciences and Biotechnology,https://easychair.org/cfp/ICPSB2018,"Jeju, South Korea","Nov 30, 2017","Jan 18, 2018","['biotechnology', 'nanotechnology', 'pharmaceutical sciences', 'medical sciences']",Chemistry
ICPPS 2018,The 2018 3rd International Conference on Pharmacy and Pharmaceutical Science,https://easychair.org/cfp/ICPPS2018,"Bali, Indonesia","Feb 05, 2018","Apr 23, 2018","['biotechnology', 'pharmaceutical sciences', 'medical sciences', 'pharmacy']",Chemistry
ICCBS 2018,2018 5th International Conference on Chemical  and Biological Sciences,https://easychair.org/cfp/ICCBS2018,"Bucharest, Romania","Jan 15, 2018","Mar 07, 2018","['nanotechnology', 'biological engineering fundamentals', 'biochemical engineering', 'multiscale modeling']",Chemistry
ICCCP 2018,2018 8th International Conference on Chemistry and Chemical Process,https://easychair.org/cfp/ICCCP2018,"Nha Trang, Viet Nam","Dec 30, 2017","Feb 23, 2018","['process engineering', 'chemical engineering fundamentals', 'multiscale modeling', 'life sciences']",Chemistry
ICEMRE-2018,International Conference on Recent Trends in Engineering Materials and Renewable Energy,https://easychair.org/cfp/icemre-2018,"Villupuram, India","Dec 01, 2017","Jan 04, 2018",['nanotechnology'],Chemistry
CAIEST 2018,First International Conference on Advances in Environmental Science and Technology,https://easychair.org/cfp/CAIEST2018,"Beijing, China","Jul 15, 2018","Sep 14, 2018",[],Chemistry
ICCE2018,2nd International Conference on Chemical Engineering 2018,https://easychair.org/cfp/ICCE2018,"Jamshoro, Pakistan",,"Jan 22, 2018","['computational fluid dynamics', 'biochemical engineering', 'chemical process modeling', 'nanotechnology & nano materials']",Chemistry
ISTEC-MC 2018,"3rd International Science, Technology and Engineering Conference 2018 (ISTEC 2018) – Satellite Event on Material Chemistry",https://easychair.org/cfp/istec2018_materialchemistry,"George Town, Malaysia","Dec 31, 2017","Apr 18, 2018","['polymeric materials', 'coatings and thin films', 'magnetic materials', 'porous materials']",Chemistry
