 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
ICESCM-2,The Second International Conference on Eco-Sustainable Construction Materials,https://easychair.org/cfp/ICESCM2,,12-Oct-18,24-Nov-18,"['nanotechnology', 'composite', 'green binder materials', 'performance related testing']",Civil Engineering
IASS 2018,Symposium of the International Association for Shell and Spatial Structures,https://easychair.org/cfp/IASS2018,"Cambridge, MA, United States",2-Apr-18,16-Jul-18,"['structural design', 'architecture', 'structural engineering', 'shell and spatial structures']",Civil Engineering
C65,C65 International Conference ”Tradition and Innovation - 65 Years of Constructions in Transilvania�?https://easychair.org/cfp/C65,https://easychair.org/cfp/C65,"Cluj-Napoca, Romania",,12-Nov-18,"['civil engineering', 'architecture', 'building systems', 'teaching civil engineering']",Civil Engineering
RICE'18,National Conference on Recent Innovations in Civil Engineering,https://easychair.org/cfp/RICE-18,"Chennai, India",10-Mar-18,27-Mar-18,"['structural engineering and construction management', 'geotechnical and transportation engineering', 'environmental and water resources management', 'remote sensing and gis applications']",Civil Engineering
ATCI2018,2018 International conference of Applications and Techniques in Cyber Intelligence,https://easychair.org/cfp/ATCI2018,"Shanghai, China",30-Mar-18,22-Jun-18,"['artificial intelligence', 'smart city']",Civil Engineering
BigTraffic 2018,1st Int'l Workshop on Big Traffic Data Analytics,https://easychair.org/cfp/BigTraffic2018,"San Diego, CA, United States",19-Jan-18,5-May-18,"['machine learning algorithms for traffic', 'algorithms for traffic data processing', 'big traffic data modeling']",Civil Engineering
ITED-2018,International Transportation and Economic Development Conference 2018,https://easychair.org/cfp/ITED-2018,"Washington D.C, DC, United States",25-May-18,5-Jun-18,"['transportation', 'planning', 'supply chains', 'regional economic development and economics']",Civil Engineering
SEAGC 2018,20th South East Asia Geotechnical Engineering Conference 2018,https://easychair.org/cfp/SEAGC2018,"Jakarta, Indonesia",,2-Nov-18,"['foundation and its problem', 'deep excavation basement and tunnels', 'soft soil and marine foundation', 'soil improvement']",Civil Engineering
BE 2018,Encontro Nacional Betão Estrutural 2018,https://easychair.org/cfp/BE2018,"Lisboa, Portugal",21-Jul-18,7-Nov-18,"['structural concrete', 'concrete', 'products and process', 'structural analysis']",Civil Engineering
ICCEE 2018,International Conference on Civil and Environmental Engineering (ICCEE) 2018 - OPEN Access SCOPUS Proceedings,https://easychair.org/cfp/ICCEE2018,"Kuala Lumpur, Malaysia",30-Apr-18,2-Oct-18,"['civil engineering', 'environmental engineering', 'architecture & quantity surveying', 'meteorological and climate change studies']",Civil Engineering
DW2018,Third International Dam World Conference,https://easychair.org/cfp/DW2018,"Foz do Iguaçu, Brazil",13-Mar-18,17-Sep-18,"['design', 'dams', 'operation and maintenance', 'environmental issues']",Civil Engineering
PANAM 2018,"Congreso Panamericano de Ingeniería de Tránsito, Transporte y Logística",https://easychair.org/cfp/panam2018,"Medellín, Colombia",31-Mar-18,25-Sep-18,"['transporte', u'log\xedstica', u'ingenier\xeda de tr\xe1nsito']",Civil Engineering
MOC 2018,Modular and Offsite Construction Summit 2018,https://easychair.org/cfp/MOC2018,"Hollywood, FL, United States",26-Jan-18,22-Mar-18,"['bim', 'offsite construction methods', 'architectural design for modular construction', 'automation and robotics in construction']",Civil Engineering
