 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
RFIW 2018,2018 Recognizing Families In the Wild,https://easychair.org/cfp/RFIW2018,"Xi'an, China",10-Feb-18,,"['computer vision', 'deep learning', 'large scale imageset', 'data challenge']",Computing
GandALF 2018,"Ninth International Symposium on Games, Automata, Logics, and Formal Verification",https://easychair.org/cfp/GandALF2018,"Saarbrücken, Germany",15-Jun-18,26-Sep-18,"['automata theory', 'games', 'verification']",Computing
ICCBR 2018,International Conference on Case-Based Reasoning,https://easychair.org/cfp/iccbr2018,"Stockholm, Sweden",20-Apr-18,10-Jul-18,"['similarity measures', 'analogical reasoning']",Computing
CITSM 2018,The 6th International Conference on Information Technology for Cyber and IT Service Management,https://easychair.org/cfp/CITSM2018,"Parapat, Indonesia",28-Feb-18,7-Aug-18,"['network security', 'modeling and simulation', 'information system', 'computer application']",Computing
ViQA-2018,Question Answering Mediated by Visual Clues and Knowledge Graphs - Challenge for The Web Conference 2018,https://easychair.org/cfp/ViQAChallengeWWW2018,"Lyon, France",4-Feb-18,23-Apr-18,"['knowledge extraction', 'question answering', 'semantic representation', 'machine learning']",Computing
ECN'18,The First International Workshop on Edge Computing and Networking,https://easychair.org/cfp/ecn18,"Hangzhou, China",31-Mar-18,2-Aug-18,"['edge computing', 'computer networks', 'cloud computing', 'distributed computing systems']",Computing
I3E 2018,"The 17th IFIP Conference on e-Business, e-Services and e-Society, Challenges and Opportunities in the Digital Era",https://easychair.org/cfp/I3E2018,Kuwait,20-Jul-18,30-Oct-18,"['social media', 'information systems', 'marketing and communications', 'management and operations']",Computing
LargeScaleAgile2018,6th International Workshop on Large-Scale Agile Development (LargeScaleAgile),https://easychair.org/cfp/LargeScaleAgile2018,"Porto, Portugal",3-Mar-18,22-May-18,"['agile software development', 'project management', 'large scale agile development', 'inter team coordination']",Computing
ICSITech 2018,2018 4th International Conference on Science in Information Technology (ICSITech),https://easychair.org/cfp/ICSITech2018,"Melaka, Malaysia",1-Jul-18,23-Oct-18,"['computer science', 'computer engineering', 'information technology']",Computing
ICSCSP2k18,International Conference on Soft Computing and Signal Processing,https://easychair.org/cfp/ICSCSP2k18,"HYDERABAD, India",30-Mar-18,22-Jun-18,"['soft computing and machine learning', 'data engg cloud and security', 'signal processing and communication', 'vlsi and embedded systems']",Computing
MISC 2018,5th International Symposium on Modelling and Implementation of Complex Systems,https://easychair.org/cfp/misc2018,"Laghouat, Algeria",15-Sep-18,16-Dec-18,"['networking', 'software engineering', 'soft computing', 'optimization']",Computing
GLS 2018,First Annual Great Lakes Data Science Symposium,https://easychair.org/cfp/gls2018,"Erie, PA, United States",15-Mar-18,5-May-18,"['data science', 'big data', 'data analytics', 'cyber seurity']",Computing
SAS 2018,25th Static Analysis Symposium,https://easychair.org/cfp/SAS2018,"Freiburg im Breisgau, Germany",6-Apr-18,29-Aug-18,"['static analysis', 'program analysis', 'abstract interpretation', 'verification']",Computing
HOR 18,9th Workshop on Higher-Order Rewriting,https://easychair.org/cfp/HOR18,"Oxford, UK",15-Apr-18,7-Jul-18,"['rewriting', 'lambda calculus', 'higher order programming', 'syntax and semantics of programming']",Computing
Data'18,"International Conference on Data Science, E-learning and Information Systems 2018",https://easychair.org/cfp/Data18,"Madrid, Spain",1-May-18,1-Oct-18,"['data science', 'data engineering', 'data analytics', 'information systems']",Computing
ISSPM 2018,2018 International Symposium on Simulation and Process Modelling,https://easychair.org/cfp/ISSPM2018,"Shenyang, China",28-May-18,21-Jul-18,"['modelling and simulation', 'business processes and process engineering', 'healthcare/service/administrative/public sector processes', 'supply chains and transport']",Computing
