 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
HISTEM2018,2nd International Conference on Innovating STEM Education,https://easychair.org/cfp/HISTEM2018,"Athens, Greece","Apr 15, 2018","Jun 22, 2018","['project based learning', 'innovative teaching in stem disciplines', 'modelling and model based reasoning', 'pedagogical aspects of educational technology']",Education Science
CUIEET 2018,Congreso Universitario de Innovación Educativa en las Enseñanzas Técnicas,https://easychair.org/cfp/26cuieet,"Gijón, Spain","Apr 30, 2018","Jun 25, 2018","['education', 'innovation']",Education Science
CRI-IDC2018-Workshop,Interaction Design and Children workshop: Near Future of Children's Robotics,https://easychair.org/cfp/cri-idc2018-workshop,"Trondheim, Norway","Apr 15, 2018",,"['educational robotics', 'interaction design', 'child robot interaction']",Education Science
SACLA 2018,47th Annual Conference of the Southern African Computing Lecturers' Association,https://easychair.org/cfp/sacla2018,"Western Cape, South Africa","Feb 28, 2018","Jun 18, 2018","['computing education', 'educational technology', 'ict education']",Education Science
LILE2018,7th International Workshop on Learning & Education with Web Data,https://easychair.org/cfp/lile2018,"Amsterdam, Netherlands","Mar 20, 2018","May 27, 2018","['learning analytics', 'web science', 'technology enhanced learning', 'web mining']",Education Science
BAAL LLTSIG 2018,BAAL Language Learning and Teaching SIG Annual Conference 2018,https://easychair.org/cfp/BAAL_LLTSIG_2018,"Southampton, UK","Mar 16, 2018","Jul 10, 2018","['language teaching and learning', 'language education policy', 'globalisation and language education', 'innovation in language education']",Education Science
LaTiCE 2018,International Conference on Learning and Teaching in Computing and Engineering 2018,https://easychair.org/cfp/latice2018,"Auckland, New Zealand","Jan 29, 2018","Apr 19, 2018","['computer science education', 'engineering education']",Education Science
EduPar-18,8th NSF/TCPP Workshop on Parallel and Distributed Computing Education (EduPar-18),https://easychair.org/cfp/EduPar18,"Vancouver, Canada","Jan 26, 2018","May 21, 2018",[],Education Science
CETCU2018,The 2018 Conference on Education and Teaching in Colleges and Universities,https://easychair.org/cfp/CETCU2018,"Beijing, China","Jul 21, 2018","Jul 21, 2018","['teaching', 'education', 'management']",Education Science
ICISCAE 2018,2018 International Conference on Information Systems and Computer Aided Education,https://easychair.org/cfp/ICISCAE2018,"Changchun, China","May 30, 2018","Jul 06, 2018","['information systems', 'electronics engineering', 'software engineering', 'computer aided education']",Education Science
IPREC'18,International Postgraduate Research Conference,https://easychair.org/cfp/IPREC-18,"Livingstone, Zambia","Feb 23, 2018","Jun 20, 2018","['business and law', 'natural sciences', 'agriculture and health', 'mining and built environment']",Education Science
IPCE 2018,"VII Investigação, Práticas e Contextos em Educação",https://easychair.org/cfp/IPCE2018,"Leiria, Portugal","Feb 28, 2018","May 04, 2018","['community development', 'teaching and learning experiences', 'other experiences in educational contexts']",Education Science
INCTE 2018,III Encontro Internacional de Formação na Docência,https://easychair.org/cfp/INCTE2018,"Bragança, Portugal","Apr 01, 2018","May 04, 2018","['curriculum and teacher training', 'educators and teachers training', 'pedagogical practices in higher education', 'education for development']",Education Science
NONCOG-LAK18,Workshop on Non-Cognitive Assessment At Scale,https://easychair.org/cfp/NONCOG-LAK18,"Sydney, Australia",,"Mar 06, 2018",[],Education Science
AISW1,Standards for Adaptive Instruction Systems (AIS) Workshop,https://easychair.org/cfp/AISW1,"Orlando, FL, United States","Feb 02, 2018","Mar 07, 2018","['domain modeling', 'learner']",Education Science
CEPRA XII - 2018,Concurso Ecuatoriano de Proyectos en I+D+i - 2018,https://easychair.org/cfp/CEPRA_XII_2018,"Cuenca, Ecuador","Mar 30, 2018",,"[u'educaci\xf3n', 'humanidades y artes', 'ciencias sociales derecho', u'ingenier\xeda industria y construcci\xf3n']",Education Science
SEEM 2018,Second International Workshop on Software Engineering Education for Millennials,https://easychair.org/cfp/seem2018,"Gothenburg, Sweden","Feb 05, 2018","Jun 02, 2018",['software engineering education'],Education Science
L@S2018,Learning at Scale 2018,https://easychair.org/cfp/ls2018,"London, UK","Jan 21, 2018","Jun 26, 2018","['learning technology', 'learning science', 'learning analytics', 'online learning']",Education Science
IOSTE 2018,International Organisation of Science and Technology Education,https://easychair.org/cfp/IOSTE2018,"Malmö, Sweden",,"Aug 13, 2018",['science and technology eduaction'],Education Science
ISTE NAC 2018,47th ISTE National Annual Convention 2018 @ Saintgits,https://easychair.org/cfp/iste2018,"KOTTAYAM, India","Jan 15, 2018","Jan 27, 2018","['innovative teaching learning practice', 'engineering skills for industry 4.0', 'student leadership development', 'quality assurance in technical education']",Education Science
MyRes 2018,2018 International Conference on Multidisciplinary Research in Mauritius,https://easychair.org/cfp/MyRes_2018,"Pointe Aux Piments, Mauritius","Mar 15, 2018","Jun 22, 2018","['stem education', 'education', 'business management and accounting', 'arts humanities and social sciences']",Education Science
iiccrhe2018,International Interdisciplinary Conference on Curriculum Reforms in Higher Education: Global Scenario,https://easychair.org/cfp/iiccrhe2018,"Kolhapur, India","Jan 25, 2018","Feb 04, 2018","['educational data mining', 'curriculum reforms in higher education', 'engagement 21st century learner', 'curriculum reforms from global perspectives']",Education Science
IC3 2018,The First International Cognitive Cities Conference,https://easychair.org/cfp/SCIE2018,"Okinawa, Japan","Mar 15, 2018","Aug 07, 2018",['intelligent computing'],Education Science
WAAD 2018,The 6th International Conference on Writing Analytics: Actionable Data for Teaching and Learning Writing,https://easychair.org/cfp/WAAD2018,"Malmö, Sweden","Jan 31, 2018","May 23, 2018","['learning analytics', 'writing', 'education', 'data mining']",Education Science
ICTERI 2018,"14th International Conference on ICT in Education, Research, and Industrial Applications",https://easychair.org/cfp/ICTERI-2018,"Kyiv, Ukraine","Jan 29, 2018","May 14, 2018","['advances in ict research', 'information systems: technology and applications', 'academia/industry ict cooperation', 'ict in education']",Education Science
