 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
ICAETGE '19,IEEE International Conference on Advances in Electrical Technology for Green Energy,https://easychair.org/cfp/ICAETGE19,"Coimbatore, India","Jan 15, 2019","Mar 20, 2019",[],Energy
ICPESA'18,"International conference on Power, Energy, Signal and Automation",https://easychair.org/cfp/ICPESA18,"Chennai, India","Feb 15, 2018","May 25, 2018","['power', 'energy', 'automation', 'signals']",Energy
ICH2P-2018,The International Conference on Hydrogen Production (ICH2P) 2018,https://easychair.org/cfp/ICH2P-2018,"Zagreb, Croatia","Apr 01, 2018","Jul 16, 2018","['fuel cells', 'global warming', 'sustainable development', 'hydrogen economy']",Energy
WCEE2018,The 2018 World Congress on Energy Engineering,https://easychair.org/cfp/WCEE2018,"Paris, France","May 15, 2018","Nov 24, 2018","['energy', 'engineering']",Energy
CIFEM2018,CIFEM - Colloque International Francophone en Energétique et Mécanique,https://easychair.org/cfp/CIFEM_2018,"Cotonou, Benin","Feb 15, 2018","Apr 23, 2018",[],Energy
DACH+ Energieinformatik 2018,The 7th D-A-CH Energy Informatics Conference,https://easychair.org/cfp/DACH-Energieinformatik-2018,"Oldenburg, Germany","May 25, 2018","Oct 11, 2018","['smart grids', 'energy efficiency', 'energy data analytics', 'renewable energies']",Energy
WTISG2018,The 4th International Workshop on Wireless Technology Innovations in Smart Grid,https://easychair.org/cfp/WTISG2018,"Porto, Portugal","Jan 31, 2018","May 08, 2018","['smart grid', 'sustainable energy', 'information technology', 'power system']",Energy
SEEM2018,"Symposium on Energy, Environment and Materials 2018",https://easychair.org/cfp/SEEM-2018,"Bangkok, Thailand","May 21, 2018","Jun 05, 2018","['energy', 'environment', 'materials', 'scopus']",Energy
ICNNE 2018,2018 3rd International Conference on Nanotechnology and Nanomaterials in Energy,https://easychair.org/cfp/ICNNE2018,"Milan, Italy","Feb 25, 2018","Jun 22, 2018","['manufacturing', 'nanotechnology', 'nanomaterials', 'smart materials']",Energy
ICEESM 2018,2018 3rd International Conference on Energy Engineering and Smart Materials,https://easychair.org/cfp/ICEESM2018,"Milan, Italy","Feb 25, 2018","Jun 22, 2018","['composites', 'biomaterials', 'metallurgical science', 'micro/nano materials']",Energy
NFEEES-2018,"New Frontiers in Energy, Engineering, Environment & Science",https://easychair.org/cfp/NFEEES-2018,"Jaipur, India","Feb 10, 2018","Feb 17, 2018","[u'energy systems \u2013 policy/economics/optimization/efficiency/management', 'renewable and sustainable energy']",Energy
RENEW 2018,Call for Book Chapters,https://easychair.org/cfp/RENEW2018,"Boston, MA, United States","Jan 15, 2018",,"['renewable energy', 'sustainability']",Energy
CEES 2018,2018 International Conference on Clean Energy and Electrical Systems,https://easychair.org/cfp/CEES2018,"Vancouver, Canada",,"Jul 25, 2018","['clean energy', 'electrical engineering', 'mechatronics', 'mechanical engineering']",Energy
ICMRE2018,Conference  Internationale Sur Les Materiaux Et Energies Renouvelables​​ 2018,https://easychair.org/cfp/ICMRE-2018,"Relizane, Algeria",,"Apr 24, 2018","['materials', 'renewable energy']",Energy
SEST 2018,International Conference on Smart Energy Systems and Technologies,https://easychair.org/cfp/SEST2018,"Sevilla, Spain","Mar 01, 2018","Sep 10, 2018","['sensors', 'communications', 'network', 'management']",Energy
ICOGE 2018,2018 2nd International Conference on Green Energy,https://easychair.org/cfp/ICOGE2018,"Kuala Lumpur, Malaysia","Apr 05, 2018","Aug 12, 2018","['oil', 'renewable energy', 'climate', 'power']",Energy
PowerAfrica 2018,2018 5th IEEE PES & IAS PowerAfrica Conference,https://easychair.org/cfp/powerafrica2018,"Cape Town, South Africa","Jan 22, 2018","Jun 26, 2018",[],Energy
CEEGE 2018,International Conference on Electrical Engineering and Green Energy,https://easychair.org/cfp/CEEGE2018,"Tokyo, Japan","Jan 29, 2018","Jun 01, 2018","['electrical engineering', 'green energy', 'power', 'renewable energy']",Energy
CEMA2018,Commodity and Energy Markets Association Annual Meeting 2018,https://easychair.org/cfp/CEMA2018,"Rome, Italy","Feb 26, 2018","Jun 20, 2018","['quantitative finance', 'commodity markets', 'risk management', 'decision theory']",Energy
MOVICI-MOYCOT-2018-WTDSME,MOVICI-MOYCOT 2018 Workshop: Technologies and developments in electric mobility systems,https://easychair.org/cfp/MOVICI-MOYCOT-2018WTDSME,"Medellin, Colombia","Mar 02, 2018","Apr 18, 2018","['energy storage systems', 'electrical power grid', 'routes and driving strategies', 'electric vehicles charging systems']",Energy
MSCPES 2018,2018 Workshop on Modeling and Simulation of Cyber-Physical Energy Systems,https://easychair.org/cfp/MSCPES2018,"Porto, Portugal","Feb 04, 2018","Apr 10, 2018","['hybrid modeling and simulation', 'ontologies for energy systems', 'distributed algorithms and control', 'formal languages for cpes']",Energy
DATALEB2018,Data for Low Energy Builidings,https://easychair.org/cfp/dataleb2018,"Murcia, Spain","Mar 01, 2018","Jun 28, 2018","['data and buildings infrastructure', 'monitoring techniques', 'city scale monitoring', 'data and policy']",Energy
CMD2018,International Conference on Condition Monitoring and Diagnosis,https://easychair.org/cfp/CMD2018,"Perth, Australia","Jul 31, 2018","Sep 23, 2018","['faults identification', 'asset management', 'diagnostics & condition monitoring', 'self healing technologies']",Energy
CISTEM2018,Conférence internationale en Sciences et Technologies Electriques au  Maghreb,https://easychair.org/cfp/cistem2018,"Algiers, Algeria","Apr 10, 2018","Oct 28, 2018","['power electronics', 'power systems', 'electronics and industrial computing', 'materials for electrical energy']",Energy
ICSEE 2018,2018 the 2nd International Conference on Sustainable Energy Engineering,https://easychair.org/cfp/ICSEE2018,"Sydney, Australia","Feb 01, 2018","Jun 15, 2018","['electronics', 'renewable energy', 'smart grids', 'energy engineering']",Energy
ICMIE 2018,2018 3rd International Conference on Measurement Instrumentation and Electronics,https://easychair.org/cfp/ICMIE2018,"Lille, France","Feb 25, 2018","Jul 04, 2018","['electronics', 'information processing', 'environmental engineering', 'measurement instrumentation']",Energy
ICPET 2018,2018 International Conference on Power and Energy Technology,https://easychair.org/cfp/ICPET2018,"Lille, France",,"Jul 04, 2018","['electrical engineering', 'renewable energy', 'power technology', 'energy technology']",Energy
SOLARIS2018,The 9th edition of the international SOLARIS conference,https://easychair.org/cfp/solaris2018,"Chengdu, China","Apr 30, 2018","Aug 30, 2018","['energy storage', 'solar energy', 'built environment', 'energy']",Energy
