 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
IAMDC - July' 2018,International Academic Multi Disciplinary Conference,https://easychair.org/cfp/IAMDCJuly2018,"Bangalore, India",5-Jul-18,13-Jul-18,"['engineering', 'information technology', 'business and management studies', 'education and social sciences']",Engineering
CITSM 2018,The 6th International Conference on Information Technology for Cyber and IT Service Management,https://easychair.org/cfp/CITSM2018,"Parapat, Indonesia",28-Feb-18,7-Aug-18,"['network security', 'modeling and simulation', 'information system', 'computer application']",Engineering
Smart SysTech 2018,"European Conference on Smart Objects, Systems and Technologies",https://easychair.org/cfp/smartsystech2018,"Dresden, Germany",11-Feb-18,12-Jun-18,"['industry 4.0', 'rfid', 'iot', 'smart objects']",Engineering
ICSITech 2018,2018 4th International Conference on Science in Information Technology (ICSITech),https://easychair.org/cfp/ICSITech2018,"Melaka, Malaysia",1-Jul-18,23-Oct-18,"['computer science', 'computer engineering', 'information technology']",Engineering
ICSCSP2k18,International Conference on Soft Computing and Signal Processing,https://easychair.org/cfp/ICSCSP2k18,"HYDERABAD, India",30-Mar-18,22-Jun-18,"['soft computing and machine learning', 'data engg cloud and security', 'signal processing and communication', 'vlsi and embedded systems']",Engineering
NCITE2018,The 4th National Conference on Industrial Technology and Engineering,https://easychair.org/cfp/NCITE2018,"Ubonratchathani, Thailand",20-Apr-18,26-Jul-18,"['computer and information technology', 'industrial management and logistics', 'innovative design']",Engineering
CUIEET 2018,Congreso Universitario de Innovación Educativa en las Enseñanzas Técnicas,https://easychair.org/cfp/26cuieet,"Gijón, Spain",30-Apr-18,25-Jun-18,"['education', 'innovation']",Engineering
ICSDES-2018,i-Proclaim International Conference on Sustainable Development in Engineering and Sciences,https://easychair.org/cfp/icsdes2018,"Kuala Lumpur, Malaysia",31-May-18,29-Dec-18,[],Engineering
CSS2018,2018 INFORMS International Conference on Service Science,https://easychair.org/cfp/INFORMS-CSS2018,"Phoenix, AZ, United States",1-Jun-18,3-Nov-18,"['service theory development and research', 'service operations management and marketing', 'system modeling and machine learning', 'service analytics and applications']",Engineering
PATA Days 2018,"9th International INQUA Meeting on Paleoseismology, Active Tectonics and Archeoseismology",https://easychair.org/cfp/PATADays2018,"Possidi, Greece",31-Mar-18,25-Jun-18,"['active tectonics', 'earthquake geology', 'paleoseismology', 'archeoseismology']",Engineering
ISSPM 2018,2018 International Symposium on Simulation and Process Modelling,https://easychair.org/cfp/ISSPM2018,"Shenyang, China",28-May-18,21-Jul-18,"['modelling and simulation', 'business processes and process engineering', 'healthcare/service/administrative/public sector processes', 'supply chains and transport']",Engineering
2018 IEEE INTERCON,"2018 IEEE XXV International Conference on Electronics, Electrical Engineering and Computing",https://easychair.org/cfp/INTERCON2018,"Lima, Peru",30-Apr-18,8-Aug-18,"['computing', 'electrical engineering', 'electronics and communication']",Engineering
