 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
ICCPM 2018,"1st  International Conference On Chemistry, Pharmacy and Medical Sciences",https://easychair.org/cfp/iccpm2018,"Bengkulu, Indonesia","Oct 01, 2018","Nov 27, 2018","['chemistry', 'pharmacy', 'medical sciences', 'environmental sciences']",Health Sciences
ZdP 2018,Zukunft der Pflege - Innovative Technik für die Praxis,https://easychair.org/cfp/zdp2018,"Oldenburg, Germany","Apr 30, 2018","Jun 04, 2018",[],Health Sciences
ACHSM-Darwin2018,ACHSM Congress Darwin 2018,https://easychair.org/cfp/ACHSM-Darwin2018,"Darwin, Australia","Sep 19, 2018","Sep 19, 2018","['global health leadership perspectives', 'rural remote and indigenous health', 'disaster preparedness', 'digital health innovations and development']",Health Sciences
ICOST2018,International Conference on Smart homes and health Telematics,https://easychair.org/cfp/ICOST2018,"Singapore, Singapore","Mar 01, 2018","Jul 10, 2018","['smart city', 'iot', 'e health', 'assistive technology']",Health Sciences
AITH 2018,2018 Symposium on Artificial Intelligence in Technologies for Health,https://easychair.org/cfp/aith2018,"Liverpool, UK","Jan 19, 2018",,"['ehealth intelligent adaptation and personalisation', 'tailored health education and advice', 'adaptation in automated health advice', 'personalised assistance']",Health Sciences
ISEMPH 2018,"International Society for Evolution, Medicine and Public Health 2018",https://easychair.org/cfp/ISEMPH2018,"Park City, UT, United States","Mar 01, 2018","Aug 01, 2018","['evolutionary medicine', 'evolutionary biology', 'health behavior', 'evolutionary anthropology']",Health Sciences
HealTAC-2018,The 1st Healtex Conference (HealTAC-2018) – Unlocking Evidence Contained in Healthcare Free Text.,https://easychair.org/cfp/HealTAC-2018,"Manchester, UK","Jan 21, 2018","Apr 18, 2018","['text mining of healthcare text', 'machine learning for healthcare texts', 'medical ontologies and coding', 'processing patient generated data']",Health Sciences
BFAL 2018,Brain Function Assessment in Learning,https://easychair.org/cfp/BFAL2018,"Montreal, Canada","Feb 28, 2018","Jun 11, 2018","['artificial intelligence', 'health', 'education', 'neuroscience']",Health Sciences
NVC2018,"6th International Conference on Noise, Vibration and Comfort",https://easychair.org/cfp/NVC2018,"Putrajaya, Malaysia","Dec 31, 2017","Mar 06, 2018","['acoustic', 'vibration', 'comfort', 'health']",Health Sciences
pHIWtE18,1st Workshop on Personalized Health & Intelligent Workplaces Transforming Ergonomics,https://easychair.org/cfp/pHIWtE18,"Rome, Italy","Mar 01, 2018","Jun 25, 2018","['digital ergonomics', 'personalized healthcare', 'wearables and iot services', 'pervasive sensitive services']",Health Sciences
DMCM 2018,The 3rd Disease Maps Community Meeting,https://easychair.org/cfp/DMCM2018,"Paris, France","Apr 21, 2018","Jun 21, 2018","['biocuration', 'map construction', 'map complexity management', 'map application in preclinical studies']",Health Sciences
2018 INCOSE SE in Healthcare,4th Annual INCOSE Conference Systems Engineering in Healthcare,https://easychair.org/cfp/2018INCOSESEinHealthcare,"Bloomington, MN, United States","Feb 15, 2018","Apr 19, 2018","['se in a regulated environment', 'design input']",Health Sciences
DH 2018,Digital Health 2018,https://easychair.org/cfp/DH2018,"Lyon, France","Jan 29, 2018","Apr 23, 2018","['digital health', 'health', 'computing applications']",Health Sciences
PervasiveHealth 2018,12th International Conference on Pervasive Computing Technologies for Healthcare,https://easychair.org/cfp/PervasiveHealth-2018,"New York, NY, United States","Jan 26, 2018","May 21, 2018","['ubiquitous computing', 'pervasive computing', 'wearable technology', 'health']",Health Sciences
