 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
SoLang21,Societies and Languages in the Third Millennium 2018,https://easychair.org/cfp/SoLang21,"Moscow, Russia","Mar 10, 2018","May 24, 2018","['communication', 'language policy', 'higher education', 'language learning']",Language and Linguistics
ELF11,11th International Conference of English as a Lingua Franca,https://easychair.org/cfp/ELF11,"London, UK","Jan 31, 2018","Jul 04, 2018",[],Language and Linguistics
ICTL-19,19th International Conference on Turkish Linguistics,https://easychair.org/cfp/ICTL-19,"Astana, Kazakhstan","Mar 15, 2018","Aug 17, 2018",[],Language and Linguistics
BAAL LLTSIG 2018,BAAL Language Learning and Teaching SIG Annual Conference 2018,https://easychair.org/cfp/BAAL_LLTSIG_2018,"Southampton, UK","Mar 16, 2018","Jul 10, 2018","['language teaching and learning', 'language education policy', 'globalisation and language education', 'innovation in language education']",Language and Linguistics
FP2018,XXXII Fonetiikan päivät 2018 / XXXII Foneetika päevad 2018,https://easychair.org/cfp/FP2018,"Tartu, Estonia","Jan 29, 2018","Apr 05, 2018","['phonetics', 'phonology', 'speech technology']",Language and Linguistics
LTM 18,"Language, Translation, and Migration",https://easychair.org/cfp/LTM18,"Coventry, UK","Feb 15, 2018","May 24, 2018",[],Language and Linguistics
PTJK2018,Polish Cognitive Linguistics Conference 2018,https://easychair.org/cfp/PTJK2018,"Poznan, Poland","Feb 15, 2018","Sep 24, 2018","['cognitive linguistics', 'cognitive science', 'semantics']",Language and Linguistics
ESLP 2018,Embodied and Situated Language Processing,https://easychair.org/cfp/eslp2018,"Lancaster, UK","Apr 16, 2018","Aug 10, 2018","['embodiment', 'language', 'cognition', 'reproducibility']",Language and Linguistics
RostUL7,"Myths, Folktales and Legends in Translation",https://easychair.org/cfp/RostUL7,"Lisbon, Portugal","Feb 18, 2018","May 08, 2018",[],Language and Linguistics
WAFL14,the 14th Workshop on Altaic Formal Linguistics,https://easychair.org/cfp/WAFL14,"Cambridge, MA, United States","Mar 30, 2018","Oct 18, 2018",[],Language and Linguistics
