 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
CFMN2018,The International Conference on Nanomaterials for Energy and Environment (CFMN2018),https://easychair.org/cfp/CFMN2018,"Casablanca, Morocco","Feb 21, 2018","Mar 19, 2018","['nanomaterials for solar energy', 'catalytic processes for energy', 'nanomaterials applied to the environment', 'nanomaterials for photocatalysis']",Physics
itsrcp18,"3rd Conference on Information Technology, Systems Research and Computational Physics",https://easychair.org/cfp/itsrcp18,"Krakow, Poland",,"Jul 02, 2018","['computer science', 'physics']",Physics
SMEEB2018,Stochastic Models in Ecology and Evolutionary Biology,https://easychair.org/cfp/SMEEB2018,"Venice, Italy","Mar 09, 2018","Apr 05, 2018","['complex systems', 'ecology', 'system biology', 'stochastic processes']",Physics
2018 ACSGAKC,The third Summer School and Conference on Geometric Algebra and Kähler Calculus,https://easychair.org/cfp/2018acsgakc,"Milano, Italy",,"Jul 23, 2018","['geometric algebra', 'interdisciplinary research', 'clifford algebra', 'kaehler calculus']",Physics
ELC 2018,European Lidar Conference 2018,https://easychair.org/cfp/ELC2018,"Thessaloniki, Greece","Feb 15, 2018","Jul 03, 2018","['lidar technology', 'lidar algorithms and data products', 'lidar applications', 'challenges: quantifying lidar data uncertainties']",Physics
EEF17,17ο Πανελλήνιο Συνέδριο της Ένωσης Ελλήνων Φυσικών,https://easychair.org/cfp/EEF17,"Thessaloniki, Greece","Jan 31, 2018","Mar 15, 2018",[],Physics
UWBUSIS-2018,2018 9th International Conference on Ultrawideband and Ultrashort Impulse Signals,https://easychair.org/cfp/UWBUSIS-2018,"Odessa, Ukraine","Mar 05, 2018","Sep 04, 2018","['ultra wideband', 'signal processing', 'ground penetrating radar', 'electromagnetic compatibility']",Physics
6JORNINC - 1 JORPROCIV 2018,6as Jornadas de Segurança aos Incêndios Urbanos e 1as Jornadas de Proteção Civil,https://easychair.org/cfp/6JORNINC-1JORPROCIV_2018,"Coimbra, Portugal","Jun 01, 2018","Nov 08, 2018","['fire safety engineering', 'civil protection', 'regulations and standards for safety', 'risk analysis']",Physics
Modelica'2018 Japan,the second Japanese Modelica Conference,https://easychair.org/cfp/Modelica2018Japan,"Tokyo, Japan","Feb 01, 2018","May 17, 2018","['multi engineering modeling', 'industrial applications', 'optimization and optimal control']",Physics
P&C 2018,9th International Workshop on Physics and Computation (A Satellite Workshop of the 2018 Conference for Unconventional Computing and Natural Computing),https://easychair.org/cfp/pc2018,"Fontainebleau, France","Mar 01, 2018","Jun 25, 2018",[],Physics
ICEMP 2018,2018 The 7th International Conference on Engineering Mathematics and Physics,https://easychair.org/cfp/ICEMP2018,"Prague, Czech Republic","Feb 10, 2018","Jun 15, 2018","['algorithms', 'mathematics', 'artificial intelligence']",Physics
ICAS-17,International Conference on Applied Sciences,https://easychair.org/cfp/ICAS-17,"LATUR, India","Dec 25, 2017","Dec 26, 2017","['physics', 'chemistry', 'computer science', 'biotechnology']",Physics
IC3PE,"International Conference on Chemistry, Chemical Process and Engineering",https://easychair.org/cfp/ic3pe,"Yogyakarta, Indonesia",,"Aug 07, 2018",[],Physics
IDRA 2018,XXXVI Convegno Nazionale di Idraulica e Costruzioni Idrauliche,https://easychair.org/cfp/idra2018,"Ancona, Italy","Jan 15, 2018","Sep 12, 2018",[],Physics
HOPDSS2018,Joint 3rd International Conference on the History of Physics of the EPS and the 4th Early-Career Conference for Historians in the Physical Sciences of the AIP,https://easychair.org/cfp/HOPDSS2018,,"Mar 15, 2018","Oct 17, 2018",[],Physics
ICAPM 2018,The 2018 8th International Conference on Applied Physics and Mathematics,https://easychair.org/cfp/ICAPM2018,"Phuket Island, Thailand","Nov 25, 2017","Jan 27, 2018","['mathematics', 'chemistry', 'modeling and simulation', 'applied physics']",Physics
OPAL' 2018,"First International Conference on Optics, Photonics and Lasers",https://easychair.org/cfp/OPAL-2018,"Barcelona, Spain","Mar 30, 2018","May 09, 2018","['optics', 'photonics', 'lasers', 'biophotonics']",Physics
ICFVM 2018,International Conference on the Finite Volume Method: Applications and Numerics,https://easychair.org/cfp/icfvm2018,"Beirut, Lebanon","Apr 30, 2018","Jul 11, 2018",[],Physics
ICoEVCI-2018,"1st International Conference on Engineering Vibration, Communication and Information Processing",https://easychair.org/cfp/ICoEVCI-2018,"Jaipur, India","Nov 30, 2017","Mar 09, 2018","['medical informatics', 'cognitive neuro robotics', 'acoustics noise and vibrations', 'nature inspired computing techniques']",Physics
