 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
SoLang21,Societies and Languages in the Third Millennium 2018,https://easychair.org/cfp/SoLang21,"Moscow, Russia","Mar 10, 2018","May 24, 2018","['communication', 'language policy', 'higher education', 'language learning']",Social Sciences
LOCC2018,Linking Organized Crime and Cybercrime,https://easychair.org/cfp/LOCC2018,"Chuncheon, South Korea","Mar 30, 2018","Jun 07, 2018","['cybercrime', 'human trafficking', 'security', 'crime']",Social Sciences
OPENSYM 2018,The 14th International Symposium on Open Collaboration,https://easychair.org/cfp/opensym2018,"Paris, France","Mar 15, 2018","Aug 21, 2018","['open source', 'open innovation', 'wiki']",Social Sciences
ELF11,11th International Conference of English as a Lingua Franca,https://easychair.org/cfp/ELF11,"London, UK","Jan 31, 2018","Jul 04, 2018",[],Social Sciences
EuropeanaTech 2018,EuropeanaTech 2018,https://easychair.org/cfp/europeanatech2018,"Rotterdam, Netherlands","Feb 07, 2018","May 15, 2018","['data', 'discovery']",Social Sciences
CERE 2018,Conference on Excellence in Research and Education (CERE),https://easychair.org/cfp/cere2018,"Indore, India","Feb 25, 2018","May 03, 2018","['business management', 'management strategy', 'human resource management', 'innovation in management']",Social Sciences
ParSocial 2018,The 3rd IEEE Workshop on  Parallel and Distributed Processing for Computational Social Systems,https://easychair.org/cfp/ParSocial2018,"Vancouver, Canada","Jan 15, 2018","May 25, 2018",[],Social Sciences
HESC2018,How to Engage (for) Social Change?,https://easychair.org/cfp/HESC_2018,"Belgrade, Serbia","Jun 30, 2018",,[],Social Sciences
DLTReg' 2018,International conference on distributed ledger technologies regulation DLTReg' 2018,https://easychair.org/cfp/DLTReg_2018,"Suzdal, Russia","Mar 19, 2018","May 31, 2018","['blockchain/dlt regulation challenges', 'regulatory toolkit']",Social Sciences
SI 2018,Workshop on Social Influence 2018,https://easychair.org/cfp/SI2018,"Barcelona, Spain","May 20, 2018","Aug 28, 2018","['social influence', 'network science', 'computational social science', 'social science']",Social Sciences
ICPSIS2018,"International Conference on Peace, Security and International Studies 2018",https://easychair.org/cfp/icpsis2018,"Victoria Falls, Zimbabwe","Jun 24, 2018","Jul 24, 2018",[],Social Sciences
interpretationvalues2,The Interpretation of Values,https://easychair.org/cfp/interpretationvalues2,"Iasi, Romania","Apr 17, 2018",,['cultural heritage'],Social Sciences
SDM-BA2018,The Strategic Decision Making- The Role of Business Analytics,https://easychair.org/cfp/SDMBA2018,"Bangalore, India","Jan 25, 2018","Jan 30, 2018","['marketing', 'finance', 'human resources']",Social Sciences
NRS2018,ECREA Preconferece - The “New Silk Road”— Flow and Counterflow of Information between Europe and China?,https://easychair.org/cfp/nrs2018,"Lugano, Switzerland","Sep 01, 2018","Oct 31, 2018",['digital media'],Social Sciences
MaHIN2018,The 1st International Workshop on Multilayer and Heterogeneous Information Network (MaHIN) at ASONAM 2018,https://easychair.org/cfp/MaHIN2018,"Barcelona, Spain","Apr 30, 2018",,"['heterogeneous networks', 'network dynamics', 'multilayer networks']",Social Sciences
CeDEM Asia 2018,"Conference for E-Democracy and Open Government, Asia 2018",https://easychair.org/cfp/CeDEMAsia2018,"Yokohama, Japan","Feb 15, 2018","Jul 12, 2018","['e democracy', 'e governance', 'smart cities', 'political communication']",Social Sciences
DACON 2018,Darussalam International Conference on Communication,https://easychair.org/cfp/dacon2018,"Ponorogo, Indonesia","Apr 01, 2018","Apr 02, 2018",[],Social Sciences
Web Studies 2,Second International Congress on Web Studies,https://easychair.org/cfp/webstudies2,"Paris, France","Apr 15, 2018","Oct 03, 2018","['digital humanities', 'web design', 'web development', 'data visualization']",Social Sciences
ISHMap 2018,2018 Symposium of the International Society for the History of the Map,https://easychair.org/cfp/2018_ISHMap,"Portland, ME, United States","Feb 15, 2018","Jun 20, 2018","['thematic mapping', 'topographic and territorial mapping', 'intelligence mapping']",Social Sciences
APF2018,Annual Privacy Forum 2018,https://easychair.org/cfp/APF2018,"Barcelona, Spain","Apr 15, 2018","Jun 13, 2018","['personal data privacy implementation', 'modelling data protection and privacy', 'trust services for data protection', 'sustainable business models']",Social Sciences
