 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
JIA 2018,Journées d’Informatique Appliquée,https://easychair.org/cfp/JIA2018,"Hammamet, Tunisia",18-Feb-18,23-Mar-18,"['internet of things', 'cloud computing', 'big data and business intelligence']",Technology
Smart SysTech 2018,"European Conference on Smart Objects, Systems and Technologies",https://easychair.org/cfp/smartsystech2018,"Dresden, Germany",11-Feb-18,12-Jun-18,"['industry 4.0', 'rfid', 'iot', 'smart objects']",Technology
NCITE2018,The 4th National Conference on Industrial Technology and Engineering,https://easychair.org/cfp/NCITE2018,"Ubonratchathani, Thailand",20-Apr-18,26-Jul-18,"['computer and information technology', 'industrial management and logistics', 'innovative design']",Technology
ICSDES-2018,i-Proclaim International Conference on Sustainable Development in Engineering and Sciences,https://easychair.org/cfp/icsdes2018,"Kuala Lumpur, Malaysia",31-May-18,29-Dec-18,[],Technology
LOCC2018,Linking Organized Crime and Cybercrime,https://easychair.org/cfp/LOCC2018,"Chuncheon, South Korea",30-Mar-18,7-Jun-18,"['cybercrime', 'human trafficking', 'security', 'crime']",Technology
ICAETGE '19,IEEE International Conference on Advances in Electrical Technology for Green Energy,https://easychair.org/cfp/ICAETGE19,"Coimbatore, India",15-Jan-19,20-Mar-19,[],Technology
GLS 2018,First Annual Great Lakes Data Science Symposium,https://easychair.org/cfp/gls2018,"Erie, PA, United States",15-Mar-18,5-May-18,"['data science', 'big data', 'data analytics', 'cyber seurity']",Technology
Data'18,"International Conference on Data Science, E-learning and Information Systems 2018",https://easychair.org/cfp/Data18,"Madrid, Spain",1-May-18,1-Oct-18,"['data science', 'data engineering', 'data analytics', 'information systems']",Technology
SCEx-EACH-USP-2018,II Seminário de Cultura e Extensão da Escola de Artes Ciências e Humanidades da Universidade de São Paulo,https://easychair.org/cfp/scexeachusp2018,"São Paulo, Brazil",,18-Apr-18,[],Technology
Asylum2018,Going Global: Steampunk and Transnational Cultures,https://easychair.org/cfp/Asylum2018,"Lincoln, UK",30-Mar-18,25-Aug-18,[],Technology
CRI-IDC2018-Workshop,Interaction Design and Children workshop: Near Future of Children's Robotics,https://easychair.org/cfp/cri-idc2018-workshop,"Trondheim, Norway",15-Apr-18,,"['educational robotics', 'interaction design', 'child robot interaction']",Technology
2018 IEEE INTERCON,"2018 IEEE XXV International Conference on Electronics, Electrical Engineering and Computing",https://easychair.org/cfp/INTERCON2018,"Lima, Peru",30-Apr-18,8-Aug-18,"['computing', 'electrical engineering', 'electronics and communication']",Technology
ITx 2018,New Zealand's Technology Mega-conference,https://easychair.org/cfp/ITx2018,"Wellington, New Zealand",23-Feb-18,11-Jul-18,[],Technology
