Final deadline for early registration fee,Camera-ready papers,Final decision notification,Presentation drafts submission deadline,Notification of Event,Submission deadline (Extended),Notification of acceptance/rejection,Tutorials,Decision on Abstracts,Notification of Paper Acceptance or Rejection,Notification of acceptance,Early Bird Registration,Special issue completed,Download CFP,Camera Ready and Registration Due:,Full papers submission Deadline,Workshop proposals,Demo submission deadline,Author Notification,Facebook,Event venue,Extended submission deadline,Camera ready deadline,Notification of acceptance of papers,Co-located event proposal deadline,Abstract registration deadline,Version finale,Notification to authors of acceptance,Notification aux auteurs,Deadline for Covering a Conference Fee,Paper notification,Camera-ready copies,Notification of paper acceptance,Departure date,First round review due,Camera-ready copies due,Final Drafts Submitted,Early bird registration,Camera-ready and Registration,Last Date of Registration,Chief Guest,Camera Ready Final Drafts Due,Acceptance decision,Full Chapter Submission Deadline (Extended),Public day (open),Maps and posters track submission deadline,Camera Ready Version,Word template for submissions,Last date of Registration,Maps and posters track abstract submission deadline,Arrival date,General Chair :,Camera-ready,Final papers for post-proceedings,Acceptance Date:,Technical Program Committee Chair,Main conference track submission deadline,Second Deadline Submission,Camera-ready submission,Submission of final papers,Demo submissions,Revised papers,Final papers submission and registration,Result announcement,Paper Camera-ready version due,Galgotias Univerity,Link,GALA Video Submissions,Posters,Extension deadline,Abstract/Paper Submission Deadline for the Second Phase,(Early bird registration deadline) Confirmation of attendance,Acceptance/reject letters,Abstract/Paper Submission Deadline for the First Phase,Submission,Main conference track community voting opens,Camera-Ready papers,Notification for authors,Demo abstract submission deadline,Notification date,Registration,Camera-ready paper due,Regular Submissions Open Till,Notification to authors,Author Decision Notification,Date of Registration,Camera-ready Submission,Camera-ready version of papers,Camera ready,Camera ready due,Final submission in camera ready format,Notification,Submission of full paper for final review,Demo abstract notification of acceptance,Conference website,Acceptance notification,Technical co Sponsorship,Camera-ready Due,Posters Deadline,Extended submission,Demo abstract registration and payment due,Location:,Registration deadline,Final version of paper and fee deadline,ISPDC-2018:,Presentations Due,Abstract submission deadline,Abstract Submission Deadline,Registration Opening,Notification Date,Submission link,Academic track abstract submission deadline,Final version of paper submission,Notification of review comments,Demo abstract camera-ready version due,Final Paper,Final acceptance decisions,Authors Notification,Final Camera Ready Paper with Author Registration,Installing day,Camera Ready Paper Submission Date,Receipt of Revised Full Paper,Deadline for Camera Ready Version,Main conference track community voting closes,Camera-ready for pre-proceedings,Paper Notification of acceptance,Posters and Lightning talks,Final version deadline,Return of final review,General Chair,Camera ready paper submission deadline,Artifact submission deadline,Extended to this new date,Submission of full papers,Submission deadline,Panel Session Proposals,Academic track camera ready paper for the Proceedings,Final abstract due,Academic track acceptance notice,Demonstration / Poster deadline,Early registration,Tutorial Chair,Registration fee submission,Extension of abstract registration deadline,Professional Day (open),Submission Link,Workshop tracks proposal submission deadline,Paper notification deadline,Registration Due,Main conference track accepted presentations announced,"Final Papers, Signed Copyright Due",Poster,Mathematics and Computing,Camera-ready Paper Due,Industry Track Submissions,Short Paper Deadline,Last date of receiving CRC,Deadline for short papers,Camera ready papers due,Acceptance Notification,"Proposals for workshops, special sessions, tutorials",Paper Registration and payment due,Industry Tracks,Acceptance of Paper,2nd Extension Deadline,Early bird registration deadline,To submit the Latest Version of the Research Paper,Final versions,Revised versions of chapters,Camera-ready copy due,Twitter,Camera-ready deadline,Decisions announced,Full Paper Submission Deadline,Camera Ready,Tutorial proposal deadline,Posters/Short Paper Submission Due,Camera-ready version,Submit Full Paper,Registration and fee transfer deadline,Extended Submission Deadline,Abstract/Paper Submission Deadline for the Third Phase,Camera ready copies due,Author notification,Acceptance and Notification,Final Paper Submission Date,Camera ready papers,Paper Submission deadline,Author Notifications distributed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/WiMAN2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.cs.umb.edu/~ting/WiMAN2018/index.html,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=wiman2018,,,,,,,,,,,,,,,,,,,,,,,,"March 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/icta2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ictafutminna.com.ng,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icta20180,,,,,,,,,,,,,,,,,,,,,,,,"April 15, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/sefaias2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://sefaias.in.tum.de,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=sefaias2018,,,,,,,,,,,,,,,,,,,,,,,,"February 5, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/ICCC_2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://iccc.org/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=iccc20181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"March 11, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/feis2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://feis2018.di.unipi.it/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=feis2018,,,,,,,,,,,,,,,,,,,,,,,,"March 11, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"March 23, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/wcmc-twnsr2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.hindawi.com/journals/wcmc/si/691674/cfp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 23, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/ieee-sci-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.smart-world.org/2018/sci/,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=sci20180,,,,,,,,,,,,,,,,,,,,,,,,"April 8, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/MIX-AI-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.mixsummit-ai.com,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=mixai2018,,,,,,,,,,,,,,,,,,,,,,,,"March 16, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"April 15, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/CIINATIC2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ciinatic.bucaramanga.upb.edu.co,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=ciinatic2018,,,,,,,,,,,,,,,,,,,,,,,,"June 15, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://easychair.org/cfp/acri2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://acri2018.disco.unimib.it,,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=acri2018,,,,,,,,,,,,,,,,,,,,,,,,"March 8, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
