Registration Fees Payment,Full paper acceptance notice,Abstract registration deadline,Housing Registration,Conference website,Acceptance Notification:,Conference closes,Submission closed,Conference Registration,Full Paper Submission:,Deadline for registration:,Deadline for decision on accepted abstracts:,Announcement of final selected papers,Deadline for submission of final formatted papers,Sponsor:,Final Full Paper Submission:,Registration & Full Paper Acceptance Notification Date,"Notification of acceptance, application submission for participation without giving a talk",Abstract Acceptance Date,Full paper submission,Submission deadline,Link,Conference registration,Registration,Final paper submission,Abstract Acceptance,Submission :,Submission link,Extended Deadline,Conference begins
,,"March 31, 2018",,http://katmsg.uek.krakow.pl/konferencjamsg/,,,,,,,,,,,,,,,,"August 31, 2018",https://easychair.org/cfp/Glob2018,,,,,,https://easychair.org/conferences/?conf=glob2018,,
,,"April 15, 2018",,,,,,,,,,,,,,,,,,"April 15, 2018",https://easychair.org/cfp/DEG2018,,,,,,https://easychair.org/conferences/?conf=deg2018,,
,,"February 25, 2018",,http://icoes.usi.ac.id,,,,,,,,,,,,,,,,"March 30, 2018",https://easychair.org/cfp/ICOES-1,,,,,,https://easychair.org/conferences/?conf=icoes1,,
,,"April 15, 2018",,http://www.p2pfisy.com,,,,,,,,,,,,,,,,"June 15, 2018",https://easychair.org/cfp/p2pfisy2018,,,,,,https://easychair.org/conferences/?conf=p2pfisy2018,,
,,,,http://pma.fpm.kpi.ua/en/icdsiai/,,,,,,,,,,,,,"April 30, 2018",,,"April 1, 2018",https://easychair.org/cfp/icdsiai2018,,"May 15, 2018","May 8, 2018",,,https://easychair.org/conferences/?conf=icdsiai2018,,
,,"January 31, 2018",,http://www.sidea.org/,,,,,,,,,,,,,,,,"April 15, 2018",https://easychair.org/cfp/SIDEA2018,,,,,,https://easychair.org/conferences/?conf=sidea2018,,
,,,,http://www.iecs.ro,,,,,,,,,,,,,,,,"February 26, 2018",https://easychair.org/cfp/IECS2018,,,,,,https://easychair.org/conferences/?conf=iecs2018,,
,,"February 20, 2018",,http://www.africainnovationsummit.com,,,,,,,,,,,,,,,,"May 15, 2018",https://easychair.org/cfp/AIS2018,,,,,,https://easychair.org/conferences/?conf=ais2018,,
,,"January 31, 2018",,http://www.maths.ed.ac.uk/ewgla/index.html,,,,,,,,,,,,,,,,"January 31, 2018",https://easychair.org/cfp/EWGLA2018,,,,,,https://easychair.org/conferences/?conf=ewgla2018,,
,,"March 15, 2018",,https://ewgcfm2018.ktu.edu,,,,,,,,,,,,,,,,"April 1, 2018",https://easychair.org/cfp/ewgcfm2018,,,,,,https://easychair.org/conferences/?conf=ewgcfm2018,,
,,"December 7, 2017",,http://www.trb.org/conferences/I-TED2018.aspx,,,,,,,,,,,,,,,"May 25, 2018","May 25, 2018",https://easychair.org/cfp/ITED-2018,,,,,,https://easychair.org/conferences/?conf=ited2018,,
,"May 15, 2018",,,https://www.rmit.edu.vn/2nd-belt-road-conference-2018,,,,,,,,,,,,,,,,"April 10, 2018",https://easychair.org/cfp/BRI2018,"May 30, 2018",,,,,,,
"Registration fee online through NEFT/ RTGS or Demand Draft in favour of ""Treasurer Integral University Lucknow""",,"January 20, 2018",,,,,,,,,,,,,,"January 31, 2018",,"January 8, 2018",,"January 20, 2018",https://easychair.org/cfp/ERTIIE2018,,,,,,https://easychair.org/conferences/?conf=ertiie18,,
,,,,http://colloqueted.fsjes-umi.ac.ma,,,,,,,,,,,,,,,,"March 1, 2018",https://easychair.org/cfp/TED2018,,,,,,https://easychair.org/conferences/?conf=ted2018,,
