Tutorial Chair,Accepted papers due,General Chair :,Conference website,Technical Program Committee Chair,Online registration closes,Technical co Sponsorship,Deadline of submission/ Early registration opens,Paper submission opens,Poster,Notification of acceptance/ Regular registration opens,Notification of acceptance/rejection,Abstract submission deadline,Galgotias Univerity,Link,Final full-text paper submission,Paper Submission Deadline (complete texts (between 4 and 8 pages)),Early bird closes,Abstract Subission,Notification of Acceptance,Final Submission and Camera ready,Final submission opens,Paper decision notification,Abstract registration deadline,Full paper submission open date,Early Bird Fee Deadline,Tentative Program Announcement,Regular registration deadline,Chief Guest,Submission link,Paper Submission,General Chair,Submission deadline,Abstract decision
,,,,,,,"July 20, 2018","March 20, 2018",download,"August 10, 2018",,,,https://easychair.org/cfp/IWDP-2018,,,,,,,,,,,,,"September 2, 2018",,https://easychair.org/conferences/?conf=iwdp2018,,,,
,,,http://icaetgt.blogspot.in/,,,,,,,,,,,https://easychair.org/cfp/ICAETGE19,,,,,,,,,"November 15, 2018",,,,,,,,,"January 15, 2019",
,,,http://www.ritchennai.org/ICPESA/index.html,,,,,,,,,,,https://easychair.org/cfp/ICPESA18,,,,,,,,,"January 31, 2018",,,,,,https://easychair.org/conferences/?conf=icpesa18,,,"February 15, 2018",
,,,http://ich2p-2018.fesb.unist.hr/,,,,,,,,,,,https://easychair.org/cfp/ICH2P-2018,,,,,,,,,"February 1, 2018",,,,,,https://easychair.org/conferences/?conf=ich2p2018,,,"April 1, 2018",
,,,https://www.emavadev.com/wcee2018,,,,,,,,,,,https://easychair.org/cfp/WCEE2018,,,,,,,,,"April 15, 2018",,,,,,https://easychair.org/conferences/?conf=wcee2018,,,"May 15, 2018",
,,,http://www.cifem2018.org,,,,,,,,,,,https://easychair.org/cfp/CIFEM_2018,,,,,,,,,"January 20, 2018",,,,,,,,,"February 15, 2018",
,,,http://www.energieinformatik2018.org,,,,,,,,,,,https://easychair.org/cfp/DACH-Energieinformatik-2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=dachenergieinformatik20180,,,"May 25, 2018",
,,,http://wirelesssmartgrid2018.sxl.cn/,,,,,,,,,,,https://easychair.org/cfp/WTISG2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=wtisg2018,,,"January 31, 2018",
,,,https://www.eventgetalive.ga/seem18,,,,,,,,,,,https://easychair.org/cfp/SEEM-2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=seem20180,,,"May 21, 2018",
,,,http://icnne.org/,,,,,,,,,,,https://easychair.org/cfp/ICNNE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icnne2018,,,"February 25, 2018",
