Poster,Faculty Early Bird Registration,Abstract registration deadline,Submission,Conference website,Submission Topics,Graduate Student Early Bird Registration,JoLLE Website,Early bird registration,Notification of acceptance,Conference program,Full paper submission (proceedings),Submission portal,Proposals Accepted Beginning,Notification of paper acceptance,Notification of abstract acceptance,For Consideration as a Paper Presentation,Camera ready copies due,For Consideration as a Poster Presentation,Submission deadline,Link,Segundo día del Simposio,Primer día del simposio,Early Bird Registration Opens,Paper submission deadline,Abstract Acceptance,Submission link,Tercer día del Simposio,Cuarto día del simposio
,,"May 10, 2018",,http://www.ccks2018.cn,,,,,,,,,,,,,,,"May 18, 2018",https://easychair.org/cfp/CCKS2018,,,,,,https://easychair.org/conferences/?conf=ccks2018,,
,,,,https://www1.essex.ac.uk/langling/conferences/sociolinguist_essex/,,,,,,,,,,,,,,,,https://easychair.org/cfp/slx-22,,,,,,,,
,,"March 1, 2018",,http://web-local.rudn.ru/web-local/kaf/rj/index.php?id=40&p=5773,,,,,,,,,,,,,,,"March 10, 2018",https://easychair.org/cfp/SoLang21,,,,,,https://easychair.org/conferences/?conf=solang21,,
,,"January 31, 2018",,http://elf11@kcl.ac.uk,,,,,,,,,,,,,,,"January 31, 2018",https://easychair.org/cfp/ELF11,,,,,,https://easychair.org/conferences/?conf=elf11,,
,,"March 15, 2018",,https://shss.nu.edu.kz/news/ictl-2018,,,,,,,,,,,,,,,"March 15, 2018",https://easychair.org/cfp/ICTL-19,,,,,,https://easychair.org/conferences/?conf=ictl19,,
,,"March 16, 2018",,http://generic.wordpress.soton.ac.uk/baallltsig2018/,,,,,,,,,,,,,,,"March 16, 2018",https://easychair.org/cfp/BAAL_LLTSIG_2018,,,,,,https://easychair.org/conferences/?conf=baallltsig2018,,
,,"January 29, 2018",,https://sisu.ut.ee/foneetikapaevad2018,,,,,,,,,,,,,,,"January 29, 2018",https://easychair.org/cfp/FP2018,,,,,,https://easychair.org/conferences/?conf=fp2018,,
,,,,https://warwick.ac.uk/fac/cross_fac/mitn/ltm/,,,,,,,,,,,,,,,"February 15, 2018",https://easychair.org/cfp/LTM18,,,,,,https://easychair.org/conferences/?conf=ltm18,,
,,,,http://wa.amu.edu.pl/ptjk2018,,,,,,,,,,,,,,,"February 15, 2018",https://easychair.org/cfp/PTJK2018,,,,,,https://easychair.org/conferences/?conf=ptjk2018,,
download,,,,http://wp.lancs.ac.uk/eslp2018/,,,,,,,,,,,,,,,"April 16, 2018",https://easychair.org/cfp/eslp2018,,,,,,https://easychair.org/conferences/?conf=eslp2018,,
