Notification of acceptance,Submission deadline (Abstract and paper),Abstract registration deadline,"Final Papers, Signed Copyright Due",Poster,Deadline for Full Papers Submission,Conference website,Abstracts Communication of Acceptance,Submission deadline,Link,Final Drafts Submitted,Submission link,Conference program,Final Papers Due
,,"February 9, 2018",,,,http://www.uoc.edu/portal/ca/in3/index.html,,"March 15, 2018",https://easychair.org/cfp/JCPOP_2018,,https://easychair.org/conferences/?conf=jcpop20170,,
,,"March 5, 2018",,,,,,"June 30, 2018",https://easychair.org/cfp/HESC_2018,,,,
,,"February 15, 2018",,,,https://digitalgovernment.wordpress.com/2017/12/21/call-for-papers-cedem-asia-2018-yokohama-japan/#more-16794,,"February 15, 2018",https://easychair.org/cfp/CeDEMAsia2018,,https://easychair.org/conferences/?conf=cedemasia2018,,
,,,,,,http://wcc2018.org/docs/WCC_2018_Call_for_Papers_IoT_Conference.pdf,,"March 15, 2018",https://easychair.org/cfp/IFIP_IoT_2018,,https://easychair.org/conferences/?conf=ifipiot2018,,
,,"February 15, 2018",,,,https://gcamadrid2018.com/,,"May 15, 2018",https://easychair.org/cfp/13GCAC,,https://easychair.org/conferences/?conf=13gcac,,
,,,,,,http://www.egov-conference.org,,"March 17, 2018",https://easychair.org/cfp/EGOV-CeDEM-ePart-2018,,https://easychair.org/conferences/?conf=egovcedemepart2018,,
,,"December 1, 2017",,download,,https://easychair.org/conferences/?conf=sala34,,"June 19, 2018",https://easychair.org/cfp/SALA-34,,,,
,,,,,,http://ipp.oii.ox.ac.uk/2018,,"March 12, 2018",https://easychair.org/cfp/IPP2018,,https://easychair.org/conferences/?conf=ipp2018,,
,,,,,,http://www.recht-und-gesellschaft.info/basel2018/,,,https://easychair.org/cfp/Basel2018,,https://easychair.org/conferences/?conf=basel2018,http://easychair.org/smart-program/basel2018/,
"February 19, 2018",,,,,,https://secuso.org/phdcolloquium,,"February 9, 2018",https://easychair.org/cfp/evotingphd2018,,https://easychair.org/conferences/?conf=evotingphd2018,,
,"March 31, 2018","February 28, 2018",,download,,http://cucen2018.covenantuniversity.edu.ng,,"March 31, 2018",https://easychair.org/cfp/cucen2018,,https://easychair.org/conferences/?conf=cucen2018,,
,,"January 31, 2018",,,,http://3synkte.euc.ac.cy/,,"April 26, 2018",https://easychair.org/cfp/3CSOE,,https://easychair.org/conferences/?conf=3csoe,,
,,,,,,https://developmentethics.org/2018conference/,,"December 1, 2017",https://easychair.org/cfp/idea2018,,https://easychair.org/conferences/?conf=ideagretha2018,,
,,"January 31, 2018",,,,http://www.cee-forum.org/annual_conferences,,"January 31, 2018",https://easychair.org/cfp/10th-cee-forum,,,,
,,"December 15, 2017",,,,http://www.multilingualism.humanities.uva.nl/clow3/,,"December 15, 2017",https://easychair.org/cfp/clow3,,https://easychair.org/conferences/?conf=clow3,,
,,,,,"January 31, 2018",http://www.momowo.eu/symposium/,"November 17, 2017","October 31, 2017",https://easychair.org/cfp/momowosymposium2018,,https://easychair.org/conferences/?conf=momowo2018,,
,,,,,,http://www.ismconference.com.au/Home,,"February 16, 2018",https://easychair.org/cfp/ISMC2018,,https://easychair.org/conferences/?conf=ismc2018,,"April 30, 2018"
,,,"November 30, 2017",,,http://www.airuniversity.af.mil/events/,,"October 2, 2017",https://easychair.org/cfp/CyberCollegeCFP1,"November 1, 2017",https://easychair.org/conferences/?conf=afccc18,,
