Conference Name,Conference Series,Link,Categories,When,Where,Submission Deadline,Notification Due,Final Version Due,Abstract Registration Due
 CLIN  2007 : The 18th Meeting of Computational Linguistics in the Netherlands,Computational Linguistics in the Netherlands,http://lands.let.ru.nl/~clin2007/,['linguistics'],"Dec 7, 2007 - Dec 7, 2007","Radboud University Nijmegen, the Netherl","Sep 14, 2007",,,
 ALR  2008 : The 6th Workshop on Asian Language Resources,N/A,http://www.cl.cs.titech.ac.jp/ALR/WS/6th/index.html,"['linguistics', 'computational linguistics', 'NLP']","Jan 11, 2008 - Jan 12, 2008","Hyderabad, India","Sep 21, 2007","Oct 26, 2007",,
 SIGHAN  2008 : The Sixth SIGHAN Workshop on Chinese Language Processing,N/A,http://www.ijcnlp2008.org/sighan6/,"['linguistics', 'computational linguistics', 'NLP']","Jan 11, 2008 - Jan 12, 2008","Hyderabad, India","Sep 21, 2007",,,
 LREC  2008 : The 6th edition of the Language Resources and Evaluation Conference,Language Resources and Evaluation,http://www.lrec-conf.org/lrec2008/,"['linguistics', 'computational linguistics', 'NLP']","May 28, 2008 - May 30, 2008","Marrakech, Morocco","Oct 31, 2007",,,
 JNLE  2008 : Journal of NLE special issue on Textual Entailment,N/A,N/A,"['linguistics', 'computational linguistics', 'NLP']",N/A,N/A,"Nov 15, 2007",,,
 NERSSEAL  2008 : IJCNLP Workshop on NER for South and South East Asian Languages,N/A,http://ltrc.iiit.ac.in/ner-ssea-07,"['linguistics', 'computational linguistics', 'NLP']","Jan 12, 2008 - Jan 12, 2008","Hyderabad, India","Sep 21, 2007",,,
 NLPLPL  2008 : IJCNLP Workshop on NLP for Less Privileged Languages,N/A,http://ltrc.iiit.ac.in/nlp-lpl-08/,"['linguistics', 'computational linguistics', 'NLP']","Jan 11, 2008 - Jan 11, 2008","Hyderabad, India","Sep 21, 2007",,,
 Prosody and Language Processing  2008 : Experimental and Theoretical Advances in Prosody,N/A,http://prosody08.wordpress.com,['linguistics'],"Apr 11, 2008 - Apr 13, 2008","Ithaca, NY","Jan 18, 2008",,,
 IJCNLP  2008 : International Joint Conference on Natural Language Processing,International Joint Conference on Natural Language Processing,http://www.ijcnlp2008.org/callforpapers.htm,['linguistics'],"Jan 7, 2008 - Jan 12, 2008","Hyderabad, India","Jul 31, 2007","Sep 17, 2007",,
 ICGL  2008 : The First International Conference on Global Interoperability for Language Resources,N/A,http://icgl.ctl.cityu.edu.hk/,['linguistics'],"Jan 9, 2008 - Jan 11, 2008",Hong Kong,"Aug 31, 2007","Sep 30, 2007",,
 COLING  2008 : The 22nd International Conference on Computational Linguistics,International Conference on Computational Linguistics,http://www.coling2008.org.uk/,"['NLP', 'computational linguistics', 'linguistics', 'artificial intelligence']","Aug 18, 2008 - Aug 22, 2008","Manchester, UK","Mar 30, 2008","May 30, 2008",,
 LabPhon 11  2008 : Laboratory Phonology 11 Conference ,N/A,http://www.vuw.ac.nz/labphon11/index.aspx,['linguistics'],"Jun 30, 2008 - Jul 2, 2008","Wellington, New Zealand","Dec 7, 2007",,,
 ICPLA  2008 : 12th Congress of the International Clinical Phonetics and Linguistics Association,N/A,http://www.icpla2008.org/,['linguistics'],"Jun 25, 2008 - Jun 28, 2008","Istanbul, Turkey","Nov 1, 2007",,,
 MALC  2007 : MidAmerica Conference on Linguistics,N/A,N/A,['linguistics'],"Oct 26, 2007 - Oct 28, 2007",U of Kansas,"Aug 22, 2007",,,
 KCTOS workshop  2007 : Re-writing linguistic history:  (Post)colonial reality on the fringes of linguistic theories ,N/A,http://www.inst.at/kctos/sektionen_a-f/anchimbe.htm,['linguistics'],"Dec 6, 2007 - Dec 9, 2007","Vienna, Austria","Aug 20, 2007","Aug 30, 2007",,
 Euralex 2008  2008 : 13th EURALEX International Congress ,N/A,http://www.iula.upf.edu/agenda/euralex_08/index.htm,['linguistics'],"Jul 15, 2008 - Jul 19, 2008",Barcelona,"Oct 31, 2007",,,
" SCL and SPCL Cayenne  2008 : Usage, application and development of the languages of the Caribbean and the Guianas",N/A,http://www.scl-online.net/callforpapers2008.html,['linguistics'],"Jul 28, 2008 - Jul 31, 2008","Cayenne, French Guiana","Feb 15, 2008","Apr 15, 2008",,
 LATA  2008 : 2nd International Conference on Language and Automata Theory and Applications,Language and Automata Theory and Applications,http://www.grlmc.com,['linguistics'],"Mar 13, 2008 - Mar 19, 2008","Tarragona, Spain","Nov 23, 2007",,,
 GWC  2008 : Fourth International Wordnet Conference,N/A,http://www.inf.u-szeged.hu/projectdirs/gwc2008/,['linguistics'],"Jan 22, 2008 - Jan 25, 2008","Szeged, Hungary","Sep 10, 2007",,,
 Syntactic Parameters  2008 : CIL Workshop on Syntactic Parameters,N/A,http://www.cil18.org/workshop/workshop_17.htm,['linguistics'],"Jul 21, 2008 - Jul 26, 2008","Seoul, Korea","Aug 31, 2007","Nov 30, 2007",,
 CIL  2008 : 18th International Congress of Linguists,N/A,http://www.cil18.org,['linguistics'],"Jul 21, 2008 - Jul 26, 2008","Seoul, Korea","Aug 31, 2007",,,
 Lexis-Grammar Interface  2008 : CIL Workshop on the Lexis-Grammar Interface,N/A,http://www.cil18.org/workshop/workshop_16.htm,['linguistics'],"Jul 21, 2008 - Jul 26, 2008","Seoul, Korea","Aug 31, 2007","Nov 30, 2007",,
 Linguistic Interfaces  2008 : CIL Workshop on Current Issues in Linguistic Interfaces,N/A,http://www.cil18.org/workshop/workshop_09.htm,['linguistics'],"Jul 21, 2008 - Jul 26, 2008","Seoul, Korea","Aug 31, 2007","Nov 30, 2007",,
 Silent Issues in Linguistic Theory  2008 : CIL Workshop on Silent Issues in Linguistic Theory,N/A,http://www.cil18.org/workshop/workshop_03.htm,['linguistics'],"Jul 21, 2008 - Jul 26, 2008","Seoul, Korea","Aug 31, 2007","Nov 30, 2007",,
 Writing Systems  2008 : CIL Workshop on Writing Systems and the Linguistic Structure,N/A,http://www.cil18.org/workshop/workshop_08.htm,['linguistics'],"Jul 21, 2008 - Jul 26, 2008","Seoul, Korea","Aug 31, 2007","Nov 30, 2007",,
 ALC  2007 : 1st Meeting of the Arizona Linguistics Circle,N/A,http://linguistics.arizona.edu/alc1/,['linguistics'],"Oct 19, 2007 - Oct 21, 2007","Tucson, Arizona, USA","Aug 19, 2007",,,
 IWSLT  2007 : International Workshop on Spoken Language Translation,N/A,http://iwslt07.itc.it,['linguistics'],"Oct 15, 2007 - Oct 16, 2007","Trento, Italy","Aug 6, 2007",,,
 Speech and Body in Interaction  2007 : International Workshop: Speech and Body in Interaction,N/A,N/A,"['linguistics', 'speech']","Oct 12, 2007 - Oct 13, 2007","Berlin, Germany","Jul 31, 2007",,,
