Conference Name,Conference Series,Link,Categories,When,Where,Submission Deadline,Notification Due,Final Version Due,Abstract Registration Due
 PPoPP  2012 : ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,N/A,http://dynopt.org/ppopp-2012/,"['programming languages', 'parallel programming']","Feb 25, 2012 - Feb 29, 2012","New Orleans, Louisiana","Aug 19, 2011","Nov 18, 2011",,"Aug 12, 2011"
 HotNets  2010 : The Ninth ACM Workshop on Hot Topics in Networks,Hot Topics in Networks,http://conferences.sigcomm.org/hotnets/2010/,"['communications', 'networking']","Oct 20, 2010 - Oct 21, 2010","Monterey, CA, USA","Jul 9, 2010","Aug 27, 2010","Sep 27, 2010","Jul 2, 2010"
 EUC  2010 : The 8th IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,Embedded and Ubiquitous Computing,http://www.euc2010.org,"['embedded computing', 'ubiquitous computing']","Dec 11, 2010 - Dec 13, 2010","Hong Kong, China","Jul 9, 2010","Sep 6, 2010","Oct 4, 2010",
 SIGGRAPH  2011 : Special Interest Group on Computer Graphics and Interactive Techniques Conference,International Conference on Computer Graphics and Interactive Techniques,http://www.siggraph.org/s2011/,['computer graphics'],"Aug 7, 2011 - Aug 11, 2011","Vancouver, BC, Canada","Jan 18, 2011",,,
 Creating Bridges  2010 : Creating Bridges: Multiculturalism and Diversity in the 21st Century,N/A,http://www.mans.ns.ca/conference,"['multicultural', 'diversity', 'ethnoculture']","Oct 13, 2010 - Oct 15, 2010","Halifax, Nova Scotia, Canada","Jun 4, 2010",,,
 ESAIR  2010 : Third Workshop on Exploiting Semantic Annotations for Information Retrieval,Exploiting Semantic Annotations in Information Retrieval,http://www.sics.se/events/esair2010,"['information retrieval', 'knowledge management', 'semantic web', 'NLP']","Oct 30, 2010 - Oct 30, 2010","Toronto, Canada","Jun 30, 2010","Jul 30, 2010","Aug 15, 2010",
 CGIM  2011 : Computer Graphics and Imaging Innsbruck Conference 2011,N/A,http://www.iasted.org/conferences/cfp-722.html,"['computer graphics', 'imaging', 'image processing']","Feb 16, 2011 - Feb 18, 2011","Innsbruck, Austria","Sep 15, 2010","Nov 1, 2010","Nov 15, 2010","Dec 1, 2010"
 ICPE  2011 : Second Joint WOSP/SIPEW International Conference on Performance Engineering,International Conference on Performance Engineering,http://www.wosp-sipew.org/,['software engineering'],"Mar 14, 2011 - Mar 16, 2011","Karlsruhe, Germany",TBD,,,
" KESE  2010 : 6th Workshop on
Knowledge Engineering and Software Engineering KESE6 at the 33rd German Conference on Artificial Intelligence",N/A,http://kese.ia.agh.edu.pl,"['knowledge engineering', 'software engineering', 'artificial intelligence']","Sep 21, 2010 - Sep 24, 2010",Karlsruhe,"Jun 21, 2010","Jul 5, 2010","Jul 26, 2010",
 ECOWS  2010 : 8th European Conference on Web Services,European Conference on Web Services,http://www.cs.ucy.ac.cy/ecows10,"['web services', 'SOA', 'rest', 'service oriented computing']","Dec 1, 2010 - Dec 3, 2010","Ayia Napa, Cyprus","Jul 16, 2010","Sep 8, 2010","Sep 22, 2010",
 WSDM  2011 : Fourth International Conference on Web Search and Data Mining,Web Search and Data Mining,http://www.wsdm2011.org/wsdm2011/home,"['web', 'search', 'IR']","Feb 9, 2011 - Feb 12, 2011",Hong Kong,"Aug 1, 2010","Oct 15, 2010","Oct 30, 2010",
 NetGames  2010 : 9th Annual Workshop on Network and Systems Support for Games,Network and System Support for Games,http://netgames2010.ntpu.edu.tw/,"['networks', 'systems', 'games']","Nov 16, 2010 - Nov 17, 2010","Taipei, Taiwan","Jul 26, 2010","Sep 24, 2010","Oct 15, 2010","Jul 19, 2010"
 ICCSP  2011 : International Conference on Communications and Signal Processing,N/A,http://iccsp2011.nitc.ac.in,"['circuits', 'signal processing', 'communications']","Feb 10, 2011 - Feb 12, 2011","Kerala, India","Sep 5, 2010","Oct 29, 2010","Nov 30, 2010",
 ACOFT  2010 : 35th Australian Conference On Optical Fibre Technology,N/A,http://aip2010.org.au,"['optical', 'fibre']","Dec 5, 2010 - Dec 9, 2010","Melbourne, Australia","Jul 9, 2010","Aug 27, 2010",,
 PA Symposium  2010 : IEEE Topical Symposium On Power Amplifiers For Wireless Communications,N/A,http://pasymposium.ucsd.edu/,"['power amplifiers', 'communications', 'wireless']","Sep 13, 2010 - Sep 14, 2010","Tempe, AZ, USA","Jul 12, 2010","Aug 3, 2010","Aug 16, 2010",
 AUPEC  2010 : 20th Australasian Universities Power Engineering Conference,N/A,http://www.epecentre.ac.nz/aupec2010.htm,"['electrical engineering', 'power engineering']","Dec 5, 2010 - Dec 8, 2010","Christchurch, New Zealand","May 31, 2010","Jun 15, 2010","Aug 2, 2010",
 ICCP  2010 : International Conference On Computational Problem-Solving,N/A,http://www.iccp2010.org,[],"Dec 3, 2010 - Dec 5, 2010","Lijiang, China","Sep 10, 2010","Sep 20, 2010","Oct 22, 2010",
 CIVS  2010 : International Conference On Computational Intelligence And Vehicular System,N/A,http://www.iita-association.org/civs2010/,"['computational intelligence', 'sensors']","Sep 22, 2010 - Sep 23, 2010","Seoul, Korea","Jul 1, 2010","Aug 1, 2010","Aug 15, 2010",
 LADC  2011 : Fifth Latin-American Symposium On Dependable Computing,Latin-American Symposium on Dependable Computing,http://www.inpe.br/ladc2011/,"['dependable computing', 'security']","Apr 25, 2011 - Apr 29, 2011","São Paulo, BRAZIL","Oct 12, 2010","Jan 14, 2011","Feb 11, 2011","Oct 1, 2010"
 RFIC  2011 : IEEE Radio Frequency Integrated Circuits Symposium,N/A,http://www.rfic2011.org/,"['electron devices', 'circuits']","Jun 5, 2011 - Jun 7, 2011","Baltimore, USA","Jan 11, 2011",,"Mar 15, 2011",
 FoBuR  2010 : 1st Workshop on  Aided Formalization of Business Rules and Policies,N/A,http://ontorule-project.eu/dissemination/events/fobur2010,"['business rules', 'rif', 'sbvr', 'NLP']","Oct 11, 2010 - Oct 15, 2010","Lisbon, Portugal","Jul 11, 2010","Aug 8, 2010","Aug 27, 2010",
 EPEPS  2010 : IEEE 19th Conference on Electrical Performance of Electronic Packaging and Systems,N/A,http://www.epeps.org,[],"Oct 24, 2010 - Oct 27, 2010","Austin, TX, USA","Jul 16, 2010",,,
 ISEEE  2010 : 3rd International Symposium on Electrical and Electronics Engineering,N/A,http://www.fie.ugal.ro/ISEEE/2010/index.html,"['electrical engineering', 'electronics']","Sep 16, 2010 - Sep 18, 2010","Galati, Romania","Jun 13, 2010","Jun 28, 2010","Jul 18, 2010",
 I2MTC  2011 : IEEE International Instrumentation And Measurement Technology Conference,N/A,http://imtc.ieee-ims.org/,"['measurement', 'instrumentation', 'metrology', 'testing']","May 10, 2011 - May 12, 2011","Hangzhou, China","Oct 25, 2010","Dec 20, 2010","Mar 1, 2011",
 SIITME  2010 : International Symposium For Design And Technology In Electronic Packaging,N/A,http://www.siitme.ro,['electronic packaging'],"Sep 23, 2010 - Sep 26, 2010","Pitesti, Romania","May 28, 2010","Jun 27, 2010","Jul 30, 2010",
 AOM  2010 : Advances In Optoelectronics & Micro/Nano-Optics,N/A,http://iomt.scnu.edu.cn/AOM2010/home.html,"['optoelectronics', 'micro/nano-optics', 'nano-metrology', 'optical information technology']","Dec 3, 2010 - Dec 6, 2010","Guangzhou, China","Oct 20, 2010","Oct 31, 2010","Dec 20, 2010",
 SAS  2011 : IEEE Sensors Applications Symposium,N/A,http://www.sensorapps.org,"['sensors', 'sensor applications', 'wireless sensors', 'smart sensors']","Feb 22, 2011 - Feb 24, 2011","San Antonio, USA","Oct 15, 2010","Nov 15, 2010","Jan 10, 2011",
 EduSymp @ MODELS  2010 : 6th Educators' Symposium : Software Modeling in Education,N/A,http://edusymp.big.tuwien.ac.at,['software engineering'],"Oct 3, 2010 - Oct 8, 2010","Oslo, Norway","Jul 9, 2010","Jul 30, 2010","Aug 30, 2010",
 MC-SS  2011 : 8th International Workshop On Multi-Carrier Systems & Solutions,N/A,http://www.mcss2011.org,"['wireless', 'communications.']","May 3, 2011 - May 4, 2011","Herrsching, Germany","Nov 7, 2010","Dec 17, 2010","Feb 6, 2011",
 SiRF  2011 : 11th Topical Meeting on Silicon Monolithic Integrated Circuits in Rf Systems,N/A,http://www.silicon-rf.org,[],"Jan 17, 2011 - Jan 19, 2011","Glendale, USA","Jul 30, 2010","Sep 15, 2010","Oct 30, 2010",
 UCSI  2010 : The 1st International Workshop on Ubiquitous Computing Security Issues,N/A,http://www.comp.dit.ie/ucsi2010,"['ubiquitous computing', 'security']","Nov 8, 2010 - Nov 11, 2010","London, United Kingdom","May 31, 2010","Jun 30, 2010","Jul 31, 2010",
" TESOL/AL Web Journal Fall  2011 : CFP: Teachers College, Columbia University Working Papers in TESOL & Applied Linguistics",N/A,N/A,[],N/A,N/A,"Sep 4, 2011",,,
 WDGM  2010 : Workshop on Data Mining with Graphs and Matrices,N/A,http://www.demfoundation.org/Workshops.htm,['data mining'],"Jul 29, 2010 - Jul 29, 2010","Tiruchirappalli, Tamilnadu, India","Jun 13, 2010","Jun 27, 2010","Jun 30, 2010",
 Eurosys  2011 : European Conference on Computer Systems,European Conference on Computer Systems,http://eurosys2011.cs.uni-salzburg.at/welcome.php,"['computer systems', 'operating systems', 'databases']","Apr 10, 2011 - Apr 13, 2011","Salzburg, Austria","Oct 10, 2010","Dec 25, 2010",,"Sep 10, 2010"
 SSCS  2010 : ACM Multimedia 2010 Workshop on Searching Spontaneous Conversational Speech,N/A,http://www.searchingspeech.org,"['multimedia', 'information retrieval', 'speech']","Oct 29, 2010 - Oct 29, 2010","Firenze, Italy","Jun 10, 2010","Jul 10, 2010","Jul 20, 2010",
 SSPW  2010 : Second International Workshop on Social Signal Processing,N/A,http://sspnet.eu/2010/04/sspw,['social networks'],"Oct 29, 2010 - Oct 29, 2010","Florence, Italy","Jun 10, 2010","Jul 10, 2010","Jul 20, 2010",
 WeRE  2010 : International Workshop on The Web and Requirements Engineering,N/A,http://gplsi.dlsi.ua.es/congresos/were10,"['web', 'software engineering']","Sep 28, 2010 - Sep 28, 2010","Sydney, Australia","Jun 10, 2010","Jul 10, 2010","Jul 28, 2010",
 GRIDNETS   2010 : 4th International ICST Conference on Networks for Grid Applications,Networks for Grid Applications,http://www.gridnets.org,"['networking', 'grid', 'computing', 'communications']","Sep 13, 2010 - Sep 15, 2010","Chicago, IL, USA","May 31, 2010","Jul 5, 2010","Aug 2, 2010",
 AMR  2010 : 8th International Workshop on Adaptive Multimedia Retrieval,Adaptive Multimedia Retrieval,http://amr.dke-research.de/amr2010,"['multimedia', 'information retrieval']","Aug 17, 2010 - Aug 18, 2010","Linz, Austria","Jun 6, 2010","Jun 21, 2010","Aug 1, 2010",
 ISADS  2011 : The 10th International Symposium on Autonomous Decentralized Systems,International Symposium on Autonomous Decentralized Systems,http://www.isads2011.info.hiroshima-cu.ac.jp/,"['networking', 'distributed systems']","Mar 23, 2011 - Mar 27, 2011","Tokyo, Japan","Aug 31, 2010","Nov 15, 2010","Dec 31, 2010",
 SMVC  2010 : ACM Multimedia Workshop on Surreal Media and Virtual Cloning 2010,N/A,http://acmmm10-smvc.eecs.qmul.ac.uk/,"['ACM', 'multimedia', 'surreal media', 'virtual cloning']","Oct 29, 2010 - Oct 29, 2010","29 October 2010, Firenze, Italy","Jun 10, 2010","Jul 10, 2010","Jul 20, 2010",
 AND  2010 : 4th Workshop on Analytics for Noisy Unstructured Text Data,Analytics for Noisy Unstructured Text Data,http://sites.google.com/site/and2010workshop,"['text mining', 'natural language procsng (nlp)', 'document analysis recognition', 'noisy data']","Oct 26, 2010 - Oct 26, 2010","Toronto, Canada","Jul 20, 2010","Aug 8, 2010","Aug 15, 2010","Jul 16, 2010"
 GPC  2011 : The 6th International Conference on Grid and Pervasive Computing,Grid and Pervasive Computing,http://www.cse.oulu.fi/GPC2011,"['grid', 'pervasive', 'cloud', 'sensor networks']","May 11, 2011 - May 13, 2011","Oulu, Finland","Dec 31, 2010","Feb 12, 2011","Feb 20, 2011",
" SICPRO  2012 : System Identification and Control Problems, IX International Conference",N/A,http://sicpro.org,"['signal processing', 'control', 'data mining', 'machine learning']","Jan 30, 2012 - Feb 2, 2012","Moscow, Russia","Aug 1, 2011","Nov 1, 2011","Aug 1, 2011",
 KDDSB  2010 : Special Track on Knowledge Discovery and Decision Systems in Biomedicine,N/A,http://www.unicampus.it/KDDSB10,"['biomedicine', 'knowledge discovery']","Oct 12, 2010 - Oct 15, 2010","Perth, Australia","Jun 24, 2010","Aug 2, 2010","Sep 2, 2010",
 DOLAP  2010 : ACM International Workshop On Data Warehousing and OLAP,Data Warehousing and OLAP,http://www2.cs.uh.edu/~dbms/dolap2010,['databases'],"Oct 26, 2010 - Oct 26, 2010","Toronto, Canada","Jun 22, 2010","Jul 30, 2010",,
 RecSysTEL  2010 : Workshop on Recommender Systems for Technology Enhanced Learning,N/A,http://adenu.ia.uned.es/workshops/recsystel2010,"['recommender systems', 'machine learning']","Sep 29, 2010 - Sep 30, 2010","Barcelona, Spain","Jun 20, 2010","Jul 16, 2010","Aug 1, 2010",
 SIMINT  2010 : SIGIR 2010 Workshop on the Simulation of Interaction: Automated Evaluation of Interactive IR,N/A,http://www.dcs.gla.ac.uk/access/simint/,['information retrieval'],"Jul 23, 2010 - Jul 23, 2010","Geneva, Switzerland","Jun 11, 2010",,,
